accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN04100744	4100744	HCT116 NTC 1	Genentech	9606	SRS1079422	GSM1890676	HCT116	HCT116	NTC
SAMN04100745	4100745	HCT116 NTC 2	Genentech	9606	SRS1079421	GSM1890677	HCT116	HCT116	NTC
SAMN04100746	4100746	HCT116 NTC 3	Genentech	9606	SRS1079420	GSM1890678	HCT116	HCT116	NTC
SAMN04100747	4100747	HCT116 shBRD4.7 1	Genentech	9606	SRS1079419	GSM1890679	HCT116	HCT116	shRNA BRD4 (7)
SAMN04100748	4100748	HCT116 shBRD4.7 2	Genentech	9606	SRS1079418	GSM1890680	HCT116	HCT116	shRNA BRD4 (7)
SAMN04100749	4100749	HCT116 shBRD4.7 3	Genentech	9606	SRS1079417	GSM1890681	HCT116	HCT116	shRNA BRD4 (7)
SAMN04100750	4100750	HCT116 shBRD4.8 1	Genentech	9606	SRS1079416	GSM1890682	HCT116	HCT116	shRNA BRD4 (8)
SAMN04100751	4100751	HCT116 shBRD4.8 2	Genentech	9606	SRS1079414	GSM1890683	HCT116	HCT116	shRNA BRD4 (8)
SAMN04100752	4100752	HCT116 shBRD4.8 3	Genentech	9606	SRS1079415	GSM1890684	HCT116	HCT116	shRNA BRD4 (8)
SAMN04100753	4100753	HT-29 NTC 1	Genentech	9606	SRS1079413	GSM1890685	HT-29	HT-29	NTC
SAMN04100754	4100754	HT-29 NTC 2	Genentech	9606	SRS1079445	GSM1890686	HT-29	HT-29	NTC
SAMN04100755	4100755	HT-29 NTC 3	Genentech	9606	SRS1079444	GSM1890687	HT-29	HT-29	NTC
SAMN04100756	4100756	HT-29 shBRD4.7 1	Genentech	9606	SRS1079443	GSM1890688	HT-29	HT-29	shRNA BRD4 (7)
SAMN04100757	4100757	HT-29 shBRD4.7 2	Genentech	9606	SRS1079442	GSM1890689	HT-29	HT-29	shRNA BRD4 (7)
SAMN04100758	4100758	HT-29 shBRD4.7 3	Genentech	9606	SRS1079441	GSM1890690	HT-29	HT-29	shRNA BRD4 (7)
SAMN04100759	4100759	HT-29 shBRD4.8 1	Genentech	9606	SRS1079440	GSM1890691	HT-29	HT-29	shRNA BRD4 (8)
SAMN04100760	4100760	HT-29 shBRD4.8 2	Genentech	9606	SRS1079439	GSM1890692	HT-29	HT-29	shRNA BRD4 (8)
SAMN04100761	4100761	HT-29 shBRD4.8 3	Genentech	9606	SRS1079438	GSM1890693	HT-29	HT-29	shRNA BRD4 (8)
