BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment	group
SAMN10141879	SRR7939378	2018-10-01T17:38:19Z	2018-09-28T09:43:53Z	32009362	1600468100	0	50	501		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939378/SRR7939378.sralite.1	SRX4774543		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855061	simple	9606	Homo sapiens	GSM3405831							no					GEO	SRA786481		public	3F62C7CF76CE550A8A322AA8A3485D77	83636E05FC61BBA73A869CD3D436F5F8	10141879	U937_control_2	Nejentsev, medicine, University cambridge	9606	SRS3855061	GSM3405831	U937	histiocytic leukemia	monocyte cell line	Control	U937.Control.4hr
SAMN10141880	SRR7939377	2018-10-01T17:38:19Z	2018-09-28T09:45:08Z	39683655	1984182750	0	50	625		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939377/SRR7939377.sralite.1	SRX4774542		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855060	simple	9606	Homo sapiens	GSM3405830							no					GEO	SRA786481		public	E0DE13E99A0CB3246B5A50664DFA5517	BDF4AEB7C3EAAA97096077F9A6DB200A	10141880	U937_control_1	Nejentsev, medicine, University cambridge	9606	SRS3855060	GSM3405830	U937	histiocytic leukemia	monocyte cell line	Control	U937.Control.4hr
SAMN10141881	SRR7939376	2018-10-01T17:38:19Z	2018-09-28T09:43:47Z	27605454	1380272700	0	50	433		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939376/SRR7939376.sralite.1	SRX4774541		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855059	simple	9606	Homo sapiens	GSM3405829							no					GEO	SRA786481		public	149A538B09745739563B20DF3BBEB93F	BAD8AE6CD3A18D67952D4C3C77DADAB2	10141881	THP1_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855059	GSM3405829	THP1	acute monocytic leukemia	monocyte cell line	Etoposide	THP1.Etoposide.10uM.4hr
SAMN10141882	SRR7939375	2018-10-01T17:38:19Z	2018-09-28T09:43:57Z	28275613	1413780650	0	50	444		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939375/SRR7939375.sralite.1	SRX4774540		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855058	simple	9606	Homo sapiens	GSM3405828							no					GEO	SRA786481		public	CF86106D0F657E74F3DDDFAF18F60963	81EEB235F33C76C062E93D5B35176B4B	10141882	THP1_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855058	GSM3405828	THP1	acute monocytic leukemia	monocyte cell line	Etoposide	THP1.Etoposide.10uM.4hr
SAMN10141883	SRR7939374	2018-10-01T17:38:19Z	2018-09-28T09:47:21Z	36591750	1829587500	0	50	577		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939374/SRR7939374.sralite.1	SRX4774539		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855057	simple	9606	Homo sapiens	GSM3405827							no					GEO	SRA786481		public	D3B8CE5D85556189BBC2D48D039C9099	DD9A74174313E2A46C09DF05E7B3F704	10141883	THP1_Etoposide_1	Nejentsev, medicine, University cambridge	9606	SRS3855057	GSM3405827	THP1	acute monocytic leukemia	monocyte cell line	Etoposide	THP1.Etoposide.10uM.4hr
SAMN10141884	SRR7939373	2018-10-01T17:38:19Z	2018-09-28T09:44:59Z	33223883	1661194150	0	50	528		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939373/SRR7939373.sralite.1	SRX4774538		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855056	simple	9606	Homo sapiens	GSM3405826							no					GEO	SRA786481		public	EA15291BCF2FBDA8E92CFD589CFF9E4A	39C11EC668E8609446CAAD3F8C8291AD	10141884	THP1_control_3	Nejentsev, medicine, University cambridge	9606	SRS3855056	GSM3405826	THP1	acute monocytic leukemia	monocyte cell line	Control	THP1.Control.4hr
SAMN10141885	SRR7939372	2018-10-01T17:38:19Z	2018-09-28T09:45:19Z	36119007	1805950350	0	50	568		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939372/SRR7939372.sralite.1	SRX4774537		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855055	simple	9606	Homo sapiens	GSM3405825							no					GEO	SRA786481		public	5949605D60EFDB4AF9E701653AF26E59	485A44799EF37FF086519A468245FAF1	10141885	THP1_control_2	Nejentsev, medicine, University cambridge	9606	SRS3855055	GSM3405825	THP1	acute monocytic leukemia	monocyte cell line	Control	THP1.Control.4hr
SAMN10141886	SRR7939371	2018-10-01T17:38:19Z	2018-09-28T09:44:34Z	31681005	1584050250	0	50	498		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939371/SRR7939371.sralite.1	SRX4774536		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855054	simple	9606	Homo sapiens	GSM3405824							no					GEO	SRA786481		public	44C76171FFE023FBC950465FC31EB284	8A0AE6E826C9B26D4DD76F44142F0FF0	10141886	THP1_control_1	Nejentsev, medicine, University cambridge	9606	SRS3855054	GSM3405824	THP1	acute monocytic leukemia	monocyte cell line	Control	THP1.Control.4hr
SAMN10141887	SRR7939370	2018-10-01T17:38:19Z	2018-09-28T09:43:37Z	23496119	1174805950	0	50	345		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939370/SRR7939370.sralite.1	SRX4774535		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855053	simple	9606	Homo sapiens	GSM3405823							no					GEO	SRA786481		public	2CAACBDEF8D2DC8E33E377A71B07A5B7	42198F93C4247765827941767152FC6B	10141887	JURKAT_Etoposide_3	Nejentsev, medicine, University cambridge	9606	SRS3855053	GSM3405823	JURKAT	acute T cell leukemia	T lymphocyte cell line	Etoposide	JURKAT.Etoposide.10uM.4hr
SAMN10141888	SRR7939369	2018-10-01T17:38:19Z	2018-09-28T09:43:36Z	25628529	1281426450	0	50	386		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/939/SRR7939369/SRR7939369.sralite.1	SRX4774534		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP162831	PRJNA493754		493754	SRS3855052	simple	9606	Homo sapiens	GSM3405822							no					GEO	SRA786481		public	44FE92366743C1A09334C5B352D45168	A1B315DA27CB78623809AF46B38DCDE1	10141888	JURKAT_Etoposide_2	Nejentsev, medicine, University cambridge	9606	SRS3855052	GSM3405822	JURKAT	acute T cell leukemia	T lymphocyte cell line	Etoposide	JURKAT.Etoposide.10uM.4hr
