accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN15063803	15063803	CLS_439_NT_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742158	GSM4579781	bladder cancer cell line CLS-439	cell culture	NT
SAMN15063804	15063804	CLS_439_MCC_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742157	GSM4579780	bladder cancer cell line CLS-439	cell culture	MCC
SAMN15063805	15063805	CLS_439_NT_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742156	GSM4579779	bladder cancer cell line CLS-439	cell culture	NT
SAMN15063806	15063806	CLS_439_MCC_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742155	GSM4579778	bladder cancer cell line CLS-439	cell culture	MCC
SAMN15063807	15063807	CLS_439_NT_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742154	GSM4579777	bladder cancer cell line CLS-439	cell culture	NT
SAMN15063808	15063808	TCC-SUP_MCC_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742153	GSM4579776	bladder cancer cell line TCC-SUP	cell culture	MCC
SAMN15063809	15063809	TCC-SUP_NT_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742152	GSM4579775	bladder cancer cell line TCC-SUP	cell culture	NT
SAMN15063810	15063810	TCC-SUP_MCC_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742151	GSM4579774	bladder cancer cell line TCC-SUP	cell culture	MCC
SAMN15063811	15063811	TCC-SUP_NT_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742150	GSM4579773	bladder cancer cell line TCC-SUP	cell culture	NT
SAMN15063812	15063812	TCC-SUP_MCC_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742149	GSM4579772	bladder cancer cell line TCC-SUP	cell culture	MCC
SAMN15063813	15063813	TCC-SUP_NT_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742148	GSM4579771	bladder cancer cell line TCC-SUP	cell culture	NT
SAMN15063814	15063814	5637_MCC_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742147	GSM4579770	bladder cancer cell line 5637	cell culture	MCC
SAMN15063815	15063815	5637_NT_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742146	GSM4579769	bladder cancer cell line 5637	cell culture	NT
SAMN15063816	15063816	5637_MCC_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742145	GSM4579768	bladder cancer cell line 5637	cell culture	MCC
SAMN15063817	15063817	5637_NT_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742144	GSM4579767	bladder cancer cell line 5637	cell culture	NT
SAMN15063818	15063818	5637_MCC_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742143	GSM4579766	bladder cancer cell line 5637	cell culture	MCC
SAMN15063819	15063819	5637_NT_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742142	GSM4579765	bladder cancer cell line 5637	cell culture	NT
SAMN15063820	15063820	T24_MCC_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742141	GSM4579764	bladder cancer cell line T24	cell culture	MCC
SAMN15063821	15063821	T24_NT_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742140	GSM4579763	bladder cancer cell line T24	cell culture	NT
SAMN15063822	15063822	T24_MCC_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742139	GSM4579762	bladder cancer cell line T24	cell culture	MCC
SAMN15063823	15063823	T24_NT_r3	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742138	GSM4579761	bladder cancer cell line T24	cell culture	NT
SAMN15063824	15063824	T24_MCC_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742137	GSM4579760	bladder cancer cell line T24	cell culture	MCC
SAMN15063825	15063825	T24_NT_r1	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742136	GSM4579759	bladder cancer cell line T24	cell culture	NT
SAMN15063826	15063826	CLS_439_MCC_r4	Laboratory of Mucosal Immunology and Microbiota, Humanitas Clinical and Research Center	9606	SRS6742159	GSM4579782	bladder cancer cell line CLS-439	cell culture	MCC
