accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN07312198	7312198	7c: PC9+TSA (50nM ,5hours) RNA-seq	Genentech	9606	SRS2333375	GSM2692594	PC9	NSCLC	PC9+TSA (50nM ,5hours)
SAMN07312199	7312199	7b: PC9+TSA (50nM ,5hours) RNA-seq	Genentech	9606	SRS2333374	GSM2692593	PC9	NSCLC	PC9+TSA (50nM ,5hours)
SAMN07312200	7312200	7a: PC9+TSA (50nM ,5hours) RNA-seq	Genentech	9606	SRS2333373	GSM2692592	PC9	NSCLC	PC9+TSA (50nM ,5hours)
SAMN07312201	7312201	6c: PC9 +carboplatin (50uM,72h) RNA-seq	Genentech	9606	SRS2333372	GSM2692591	PC9	NSCLC	PC9 +carboplatin (50uM,72h)
SAMN07312202	7312202	6b: PC9 +carboplatin (50uM,72h) RNA-seq	Genentech	9606	SRS2333370	GSM2692590	PC9	NSCLC	PC9 +carboplatin (50uM,72h)
SAMN07312203	7312203	6a: PC9 +carboplatin (50uM,72h) RNA-seq	Genentech	9606	SRS2333371	GSM2692589	PC9	NSCLC	PC9 +carboplatin (50uM,72h)
SAMN07312204	7312204	5c: PC9+erlotinib (1uM, 24 hours) RNA-seq	Genentech	9606	SRS2333369	GSM2692588	PC9	NSCLC	PC9+erlotinib (1uM, 24 hours)
SAMN07312205	7312205	5b: PC9+erlotinib (1uM, 24 hours) RNA-seq	Genentech	9606	SRS2333368	GSM2692587	PC9	NSCLC	PC9+erlotinib (1uM, 24 hours)
SAMN07312206	7312206	5a: PC9+erlotinib (1uM, 24 hours) RNA-seq	Genentech	9606	SRS2333367	GSM2692586	PC9	NSCLC	PC9+erlotinib (1uM, 24 hours)
SAMN07312207	7312207	3c: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333366	GSM2692585	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)
SAMN07312208	7312208	3b: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333365	GSM2692584	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)
SAMN07312209	7312209	3a: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333364	GSM2692583	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)
SAMN07312210	7312210	2c: PC9DTP RNA-seq	Genentech	9606	SRS2333363	GSM2692582	PC9	NSCLC	PC9DTP
SAMN07312211	7312211	2b: PC9DTP RNA-seq	Genentech	9606	SRS2333362	GSM2692581	PC9	NSCLC	PC9DTP
SAMN07312212	7312212	2a: PC9DTP RNA-seq	Genentech	9606	SRS2333361	GSM2692580	PC9	NSCLC	PC9DTP
SAMN07312213	7312213	1c: PC9+DMSO RNA-seq	Genentech	9606	SRS2333360	GSM2692579	PC9	NSCLC	PC9+DMSO
SAMN07312214	7312214	1b: PC9+DMSO RNA-seq	Genentech	9606	SRS2333359	GSM2692578	PC9	NSCLC	PC9+DMSO
SAMN07312215	7312215	1a: PC9+DMSO RNA-seq	Genentech	9606	SRS2333358	GSM2692577	PC9	NSCLC	PC9+DMSO
