BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	group
SAMN07312215	SRR5800675	2017-07-05T17:26:42Z	2017-07-03T17:11:29Z	83289012	24071709706	83289012	289	12922		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800675/SRR5800675.1	SRX2980142		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333358	simple	9606	Homo sapiens	GSM2692577							no					GEO	SRA583454		public	5716DC778D0AAA54A30E100B809B5BA5	B66544952012BE7B1FC60CEB73064751	7312215	1a: PC9+DMSO RNA-seq	Genentech	9606	SRS2333358	GSM2692577	PC9	NSCLC	PC9+DMSO	PC9.DMSO
SAMN07312214	SRR5800676	2017-07-05T17:26:42Z	2017-07-03T16:41:19Z	87770359	25442509198	87770359	289	13478		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800676/SRR5800676.1	SRX2980143		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333359	simple	9606	Homo sapiens	GSM2692578							no					GEO	SRA583454		public	2635F66481990930E8689FC861997A45	1654CB0D9F9F68FC330DD8D103C39106	7312214	1b: PC9+DMSO RNA-seq	Genentech	9606	SRS2333359	GSM2692578	PC9	NSCLC	PC9+DMSO	PC9.DMSO
SAMN07312213	SRR5800677	2017-07-05T17:26:42Z	2017-07-03T17:21:50Z	81306564	23459763825	81306564	288	12575		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800677/SRR5800677.1	SRX2980144		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333360	simple	9606	Homo sapiens	GSM2692579							no					GEO	SRA583454		public	270FCBB97DE5C2037BCF0D7C4B77E2D7	AE6EB412E2614EA60BC6A3E71CFAAABE	7312213	1c: PC9+DMSO RNA-seq	Genentech	9606	SRS2333360	GSM2692579	PC9	NSCLC	PC9+DMSO	PC9.DMSO
SAMN07312212	SRR5800678	2017-07-05T17:26:42Z	2017-07-03T14:57:43Z	87358965	25194880677	87358965	288	13427		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800678/SRR5800678.1	SRX2980145		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333361	simple	9606	Homo sapiens	GSM2692580							no					GEO	SRA583454		public	6381E64248254D170425B51FD606A374	48010D6733FBB6D1E0AD67C711A5CF64	7312212	2a: PC9DTP RNA-seq	Genentech	9606	SRS2333361	GSM2692580	PC9	NSCLC	PC9DTP	PC9_DTP.untreated
SAMN07312211	SRR5800679	2017-07-05T17:26:42Z	2017-07-03T14:54:54Z	84137325	24276898852	84137325	288	12981		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800679/SRR5800679.1	SRX2980146		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333362	simple	9606	Homo sapiens	GSM2692581							no					GEO	SRA583454		public	1700DEA202D3D9B7C9CFD8644A0F369D	05A105CBD60C668E92E17F6544FAEDFD	7312211	2b: PC9DTP RNA-seq	Genentech	9606	SRS2333362	GSM2692581	PC9	NSCLC	PC9DTP	PC9_DTP.untreated
SAMN07312210	SRR5800680	2017-07-05T17:26:42Z	2017-07-03T16:57:34Z	79228174	22865221159	79228174	288	12222		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800680/SRR5800680.1	SRX2980147		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333363	simple	9606	Homo sapiens	GSM2692582							no					GEO	SRA583454		public	87F93D0137251E1F4F2FE2604855AAFF	DEEA1D6087C5D6CB2A4FFB3F75560AC3	7312210	2c: PC9DTP RNA-seq	Genentech	9606	SRS2333363	GSM2692582	PC9	NSCLC	PC9DTP	PC9_DTP.untreated
SAMN07312209	SRR5800681	2017-07-05T17:26:42Z	2017-07-03T16:47:20Z	70891354	20483436952	70891354	288	10933		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800681/SRR5800681.1	SRX2980148		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333364	simple	9606	Homo sapiens	GSM2692583							no					GEO	SRA583454		public	25762AF5EC48450A27CD2FCA1C878720	DEA2E3871874AA87D3836E3A30D2F02D	7312209	3a: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333364	GSM2692583	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)	PC9_DTP.TSA.50nM_5hr
SAMN07312208	SRR5800682	2017-07-05T17:26:42Z	2017-07-03T16:45:23Z	85046218	24599640215	85046218	289	13020		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800682/SRR5800682.1	SRX2980149		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333365	simple	9606	Homo sapiens	GSM2692584							no					GEO	SRA583454		public	7994F42BA7A8A1A0A33FC593C15F128F	A927E29AE415F5DFD32D008307B28D5B	7312208	3b: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333365	GSM2692584	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)	PC9_DTP.TSA.50nM_5hr
SAMN07312207	SRR5800683	2017-07-05T17:26:42Z	2017-07-03T17:28:10Z	84504547	24426230558	84504547	289	13075		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800683/SRR5800683.1	SRX2980150		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333366	simple	9606	Homo sapiens	GSM2692585							no					GEO	SRA583454		public	22A6ED8349800A1FC68337EB2BC24128	8C3010D6F02E23B34C95858A3725A03E	7312207	3c: PC9DTP+TSA (50nM, 5hours) RNA-seq	Genentech	9606	SRS2333366	GSM2692585	PC9	NSCLC	PC9DTP+TSA (50nM, 5hours)	PC9_DTP.TSA.50nM_5hr
SAMN07312206	SRR5800684	2017-07-05T17:26:42Z	2017-07-03T17:21:31Z	86929203	25068494627	86929203	288	13488		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5800684/SRR5800684.1	SRX2980151		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP110994	PRJNA392914	2	392914	SRS2333367	simple	9606	Homo sapiens	GSM2692586							no					GEO	SRA583454		public	AA0FB464AFCDD7FD3E67A153133EE93C	D9A60741B3A55A26255FFF5FE4EA5A03	7312206	5a: PC9+erlotinib (1uM, 24 hours) RNA-seq	Genentech	9606	SRS2333367	GSM2692586	PC9	NSCLC	PC9+erlotinib (1uM, 24 hours)	PC9.erlotinib.1uM_24hr
