BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN30952356	SRR21659600	2022-11-02T21:36:29Z	2022-09-21T14:14:21Z	27605568	8281670400	27605568	300	3080		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659600/SRR21659600.lite.1	SRX17659384	GSM6595603	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191651	simple	9606	Homo sapiens	GSM6595603							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	73BBE1D5CB49EE41BE751645896A64EF	3F868876FEEA44227CDDA377B371EA51	30952356	PR_RUX_PTX_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191651	GSM6595603	SUM190_PR	SUM190_PR	15nM Ruxolitinib 6.5nM Paclitaxel
SAMN30952357	SRR21659601	2022-11-02T21:36:29Z	2022-09-21T13:54:55Z	42419583	12725874900	42419583	300	4736		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659601/SRR21659601.lite.1	SRX17659383	GSM6595602	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191650	simple	9606	Homo sapiens	GSM6595602							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	D7FD72F7D90BDE91F521CF86DDEEE1F7	12683883E2D1773A2D38FDD4E2FD5E4A	30952357	PR_RUX_PTX_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191650	GSM6595602	SUM190_PR	SUM190_PR	15nM Ruxolitinib 6.5nM Paclitaxel
SAMN30952358	SRR21659602	2022-11-02T21:36:29Z	2022-09-21T14:31:17Z	43206034	12961810200	43206034	300	4801		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659602/SRR21659602.lite.1	SRX17659382	GSM6595601	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191649	simple	9606	Homo sapiens	GSM6595601							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	DAB84C4064AAD241937EFC4C8B89E59C	FC2B0F14BDBD3523F908276B96E416C9	30952358	PR_RUX_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191649	GSM6595601	SUM190_PR	SUM190_PR	15uM Ruxolitinib
SAMN30952359	SRR21659603	2022-11-02T21:36:29Z	2022-09-21T14:21:07Z	30633186	9189955800	30633186	300	3406		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659603/SRR21659603.lite.1	SRX17659381	GSM6595600	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191648	simple	9606	Homo sapiens	GSM6595600							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	00AD89170D5B386401CEB816E7644B19	DAF27F0E8E6B68ED03819CEABADE3018	30952359	PR_RUX_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191648	GSM6595600	SUM190_PR	SUM190_PR	15uM Ruxolitinib
SAMN30952360	SRR21659604	2022-11-02T21:36:29Z	2022-09-21T14:37:20Z	36194211	10858263300	36194211	300	4017		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659604/SRR21659604.lite.1	SRX17659380	GSM6595599	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191647	simple	9606	Homo sapiens	GSM6595599							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	AFAB2E45DB820703162EBD3DCA6A5070	54E9D6F99C393907F6497E6C79E2469C	30952360	PR_PTX_High_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191647	GSM6595599	SUM190_PR	SUM190_PR	10nM Paclitaxel
SAMN30952361	SRR21659605	2022-11-02T21:36:29Z	2022-09-21T14:29:37Z	39862001	11958600300	39862001	300	4360		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659605/SRR21659605.lite.1	SRX17659379	GSM6595598	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191646	simple	9606	Homo sapiens	GSM6595598							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	4665D1182FF4FC86E8CBB8D466F6AD23	25A1FA1C45E7A422DE78E4A30A425180	30952361	PR_PTX_High_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191646	GSM6595598	SUM190_PR	SUM190_PR	10nM Paclitaxel
SAMN30952362	SRR21659606	2022-11-02T21:36:29Z	2022-09-21T14:24:21Z	39955496	11986648800	39955496	300	4454		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659606/SRR21659606.lite.1	SRX17659378	GSM6595597	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191645	simple	9606	Homo sapiens	GSM6595597							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	F81B6458F75725A3560081A1C4C825EA	74103440B836D0B3062BEC932A8E0881	30952362	PR_PTX_Low_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191645	GSM6595597	SUM190_PR	SUM190_PR	6.5nM Paclitaxel
SAMN30952363	SRR21659607	2022-11-02T21:36:29Z	2022-09-21T14:28:55Z	36184011	10855203300	36184011	300	4017		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659607/SRR21659607.lite.1	SRX17659377	GSM6595596	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191644	simple	9606	Homo sapiens	GSM6595596							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	F6B9824425465FCEA2A2E629B9FFE188	19B90692B77598CED9B89A46BFDB3B38	30952363	PR_PTX_Low_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191644	GSM6595596	SUM190_PR	SUM190_PR	6.5nM Paclitaxel
SAMN30952364	SRR21659608	2022-11-02T21:36:29Z	2022-09-21T14:16:38Z	36346145	10903843500	36346145	300	4062		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659608/SRR21659608.lite.1	SRX17659376	GSM6595595	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191643	simple	9606	Homo sapiens	GSM6595595							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	1BA2C7E3C1F8FE5357C37E24239927DB	2044EFBB19AFBC2E37B1D04FFCB34249	30952364	PR_DMSO_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191643	GSM6595595	SUM190_PR	SUM190_PR	DMSO
SAMN30952365	SRR21659609	2022-11-02T21:36:28Z	2022-09-21T14:17:38Z	36780830	11034249000	36780830	300	4114		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659609/SRR21659609.lite.1	SRX17659375	GSM6595594	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191641	simple	9606	Homo sapiens	GSM6595594							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	9C300727EA1D70159ABA2D80994D16B6	B99E6AC15DDB15E2BC8B2DD2FF019BB0	30952365	PR_DMSO_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191641	GSM6595594	SUM190_PR	SUM190_PR	DMSO
SAMN30952366	SRR21659610	2022-11-02T21:36:28Z	2022-09-21T14:03:01Z	37719253	11315775900	37719253	300	4186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659610/SRR21659610.lite.1	SRX17659374	GSM6595593	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191642	simple	9606	Homo sapiens	GSM6595593							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	295C27D3B65828651AD89A8482596DB1	BCCA4E45FC6F716C3916587370042C5A	30952366	DR_Dox_High_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191642	GSM6595593	SUM190_DR	SUM190_DR	1uM Doxorubicin
SAMN30952367	SRR21659611	2022-11-02T21:36:28Z	2022-09-21T14:50:00Z	44225266	13267579800	44225266	300	4885		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659611/SRR21659611.lite.1	SRX17659373	GSM6595592	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191640	simple	9606	Homo sapiens	GSM6595592							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	63DD2B0A9E17F392731CB955B615E869	A2AFFFE4D0C217A881D31AA7D849C286	30952367	DR_Dox_High_1	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191640	GSM6595592	SUM190_DR	SUM190_DR	1uM Doxorubicin
SAMN30952368	SRR21659612	2022-11-02T21:36:28Z	2022-09-21T14:01:25Z	34417009	10325102700	34417009	300	3843		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21659/SRR21659612/SRR21659612.lite.1	SRX17659372	GSM6595591	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP398432	PRJNA882817	3	882817	SRS15191639	simple	9606	Homo sapiens	GSM6595591							no					DANA FABER CANCER INSTITUTE	SRA1502798		public	F78891B0C1D7165239E4D223B662E092	4FAFF3CE52831DC54E1D7272ED83A62A	30952368	DR_Dox_Low_2	Polyak, Medical Oncology, Dana-Farber Cancer Institute	9606	SRS15191639	GSM6595591	SUM190_DR	SUM190_DR	350nM Doxorubicin
