accession	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment
SAMN26542522	26542522	MPAF_DMSO_0.001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227498	GSM5941983	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542523	26542523	MPAF_DMSO_0.001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227499	GSM5941982	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542524	26542524	MPAF_DMSO_0.001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227497	GSM5941981	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_24h
SAMN26542525	26542525	MPAF_DMSO_0.001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227495	GSM5941980	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542526	26542526	MPAF_DMSO_0.001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227496	GSM5941979	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542527	26542527	MPAF_DMSO_0.001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227494	GSM5941978	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.001%_1h
SAMN26542528	26542528	MPAF_YKL5124_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227493	GSM5941977	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542529	26542529	MPAF_YKL5124_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227492	GSM5941976	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542530	26542530	MPAF_YKL5124_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227491	GSM5941975	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_24h
SAMN26542531	26542531	MPAF_YKL5124_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227490	GSM5941974	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h
SAMN26542532	26542532	MPAF_YKL5124_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227489	GSM5941973	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h
SAMN26542533	26542533	MPAF_YKL5124_100nM_1h_	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227487	GSM5941972	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h_
SAMN26542534	26542534	MPAF_THZ531_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227488	GSM5941971	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542535	26542535	MPAF_THZ531_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227486	GSM5941970	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542536	26542536	MPAF_THZ531_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227485	GSM5941969	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542537	26542537	MPAF_THZ531_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227483	GSM5941968	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h
SAMN26542538	26542538	MPAF_THZ531_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227484	GSM5941967	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h
SAMN26542539	26542539	MPAF_THZ531_100nM_1h_	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227482	GSM5941966	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h_
SAMN26542540	26542540	MPAF_DMSO_0.0001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227481	GSM5941965	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542541	26542541	MPAF_DMSO_0.0001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227479	GSM5941964	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542542	26542542	MPAF_DMSO_0.0001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227480	GSM5941963	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542543	26542543	MPAF_DMSO_0.0001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227478	GSM5941962	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542544	26542544	MPAF_DMSO_0.0001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227477	GSM5941961	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542545	26542545	MPAF_DMSO_0.0001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227475	GSM5941960	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542546	26542546	MPAF_SY0351_10nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227476	GSM5941959	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542547	26542547	MPAF_SY0351_10nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227474	GSM5941958	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542548	26542548	MPAF_SY0351_10nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227473	GSM5941957	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542549	26542549	MPAF_SY0351_10nM_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227472	GSM5941956	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542550	26542550	MPAF_SY0351_10nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227471	GSM5941955	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542551	26542551	MPAF_SY0351_10nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227470	GSM5941954	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542552	26542552	MPAF_NVP2_10nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227469	GSM5941953	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_24h
SAMN26542553	26542553	MPAF_NVP2_10nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227468	GSM5941952	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_24h
