BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	group
SAMN13229353	SRR10416443	2020-01-11T11:31:50Z	2019-11-08T01:26:46Z	25405866	7621759800	25405866	300	2197		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416443.sralite.1	SRX7114636		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625492	simple	9606	Homo sapiens	GSM4153470							no					GEO	SRA992695		public	69DC55FC84B1045EC3219B0207AB4E4E	479F991F6ADABEC699895969807FD9E4	13229353	Control 1 [C1]	Gartner, Pediatrics, UCSF	9606	SRS5625492	GSM4153470	Caco2	Caco-2 spheroids_control	control	Caco2.control.4hr
SAMN13229354	SRR10416454	2020-01-11T11:31:50Z	2019-11-08T01:29:32Z	29392710	8817813000	29392710	300	2536		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/416/SRR10416454.sralite.1	SRX7114647		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625503	simple	9606	Homo sapiens	GSM4153481							no					GEO	SRA992695		public	3D097AE66B6B9D0D292BCF157F29B4B5	3441A6B64D3793854654FABFC415663A	13229354	Methotrexate 3 [M3]	Gartner, Pediatrics, UCSF	9606	SRS5625503	GSM4153481	Caco2	Caco-2 spheroids_Methotrexate	Methotrexate	Caco2.Methotrexate.4hr
SAMN13229355	SRR10416453	2020-01-11T11:31:50Z	2019-11-08T02:03:56Z	80492731	24147819300	80492731	300	6944		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416453.sralite.1	SRX7114646		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625502	simple	9606	Homo sapiens	GSM4153480							no					GEO	SRA992695		public	6FD348CCE7E30DC92A4D75A66E14E23F	502F3BD9AE6C58AF5FC917974CA798DA	13229355	Methotrexate 2 [M2]	Gartner, Pediatrics, UCSF	9606	SRS5625502	GSM4153480	Caco2	Caco-2 spheroids_Methotrexate	Methotrexate	Caco2.Methotrexate.4hr
SAMN13229356	SRR10416452	2020-01-11T11:31:50Z	2019-11-08T01:43:59Z	62335976	18700792800	62335976	300	5396		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/416/SRR10416452.sralite.1	SRX7114645		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625501	simple	9606	Homo sapiens	GSM4153479							no					GEO	SRA992695		public	294A636A25DE1ABDC52CAFB6E2E9B017	BF2EC74EAE598728FB108E95F4E0C88B	13229356	Methotrexate 1 [M1]	Gartner, Pediatrics, UCSF	9606	SRS5625501	GSM4153479	Caco2	Caco-2 spheroids_Methotrexate	Methotrexate	Caco2.Methotrexate.4hr
SAMN13229357	SRR10416451	2020-01-11T11:31:50Z	2019-11-08T01:29:08Z	24692512	7407753600	24692512	300	2119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416451.sralite.1	SRX7114644		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625500	simple	9606	Homo sapiens	GSM4153478							no					GEO	SRA992695		public	A20B5A0FECDAECA35307DDF68CF482D6	FBF92CB7390823411954659FF045A2F3	13229357	Lactoferrin 3 [L3]	Gartner, Pediatrics, UCSF	9606	SRS5625500	GSM4153478	Caco2	Caco-2 spheroids_Lactoferrin	Lactoferrin	Caco2.Lactoferrin.4hr
SAMN13229358	SRR10416450	2020-01-11T11:31:50Z	2019-11-08T01:27:50Z	24747740	7424322000	24747740	300	2129		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416450.sralite.1	SRX7114643		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625499	simple	9606	Homo sapiens	GSM4153477							no					GEO	SRA992695		public	F0AF14F15DFCE6D94026FABB7BD3F1B1	B33FB15E86E724E92D9441E16E18CD94	13229358	Lactoferrin 2 [L2]	Gartner, Pediatrics, UCSF	9606	SRS5625499	GSM4153477	Caco2	Caco-2 spheroids_Lactoferrin	Lactoferrin	Caco2.Lactoferrin.4hr
SAMN13229359	SRR10416449	2020-01-11T11:31:50Z	2019-11-08T01:30:02Z	26032584	7809775200	26032584	300	2247		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/416/SRR10416449.sralite.1	SRX7114642		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625498	simple	9606	Homo sapiens	GSM4153476							no					GEO	SRA992695		public	1A88BB0CABF317F25459FDECD1C29918	0254D907966E69802F9AD6FB8D843A7F	13229359	Lactoferrin 1 [L1]	Gartner, Pediatrics, UCSF	9606	SRS5625498	GSM4153476	Caco2	Caco-2 spheroids_Lactoferrin	Lactoferrin	Caco2.Lactoferrin.4hr
SAMN13229360	SRR10416448	2020-01-11T11:31:50Z	2019-11-08T01:31:07Z	26343602	7903080600	26343602	300	2276		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/416/SRR10416448.sralite.1	SRX7114641		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625497	simple	9606	Homo sapiens	GSM4153475							no					GEO	SRA992695		public	B39C46C079225D9FD2B9D8B0096E439B	2E4088480B3FBD5AC6254B8205C2B9BC	13229360	Methotrexate-Lactoferrin 3 [LM3]	Gartner, Pediatrics, UCSF	9606	SRS5625497	GSM4153475	Caco2	Caco-2 spheroids_Methotrexate-Lactoferrin	Methotrexate-Lactoferrin	Caco2.Methotrexate.Lactoferrin.4hr
SAMN13229361	SRR10416447	2020-01-11T11:31:50Z	2019-11-08T01:29:30Z	25451251	7635375300	25451251	300	2196		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416447.sralite.1	SRX7114640		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625496	simple	9606	Homo sapiens	GSM4153474							no					GEO	SRA992695		public	A4D5E77DF93AA2DE1F1C7699E02D34D7	D728A049EF9B01294B59DCBEA63046BE	13229361	Methotrexate-Lactoferrin 2 [LM2]	Gartner, Pediatrics, UCSF	9606	SRS5625496	GSM4153474	Caco2	Caco-2 spheroids_Methotrexate-Lactoferrin	Methotrexate-Lactoferrin	Caco2.Methotrexate.Lactoferrin.4hr
SAMN13229362	SRR10416446	2020-01-11T11:31:50Z	2019-11-08T01:29:54Z	29103836	8731150800	29103836	300	2510		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/416/SRR10416446.sralite.1	SRX7114639		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625495	simple	9606	Homo sapiens	GSM4153473							no					GEO	SRA992695		public	D4161551183D8E289DD5D0F4DEC68056	D5EAFAD4E6D819BB2CA40BA504755D01	13229362	Methotrexate-Lactoferrin 1 [LM1]	Gartner, Pediatrics, UCSF	9606	SRS5625495	GSM4153473	Caco2	Caco-2 spheroids_Methotrexate-Lactoferrin	Methotrexate-Lactoferrin	Caco2.Methotrexate.Lactoferrin.4hr
SAMN13229363	SRR10416445	2020-01-11T11:31:50Z	2019-11-08T01:31:29Z	30290940	9087282000	30290940	300	2619		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/416/SRR10416445.sralite.1	SRX7114638		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625494	simple	9606	Homo sapiens	GSM4153472							no					GEO	SRA992695		public	37CF649F8D692676B27567685268DEF0	3A0FB176F2EAF6A01E932B1A7B23C062	13229363	Control 3 [C3]	Gartner, Pediatrics, UCSF	9606	SRS5625494	GSM4153472	Caco2	Caco-2 spheroids_control	control	Caco2.control.4hr
SAMN13229364	SRR10416444	2020-01-11T11:31:50Z	2019-11-08T01:30:08Z	30576950	9173085000	30576950	300	2633		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/416/SRR10416444.sralite.1	SRX7114637		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP229071	PRJNA588171		588171	SRS5625493	simple	9606	Homo sapiens	GSM4153471							no					GEO	SRA992695		public	8DE0B53347B808ECF6966A52AAE416C1	DB1FF36A4BC3FEAC4E9B47BBB489024B	13229364	Control 2 [C2]	Gartner, Pediatrics, UCSF	9606	SRS5625493	GSM4153471	Caco2	Caco-2 spheroids_control	control	Caco2.control.4hr
