BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	treatment	group
SAMN32812820	SRR23153399	2023-02-15T21:36:26Z	2023-01-20T12:58:29Z	54984000	11106768000	54984000	202	3443		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153399/SRR23153399.lite.1	SRX19104014	GSM6945998	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516323	simple	9606	Homo sapiens	GSM6945998							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	5632E3A370BB47727759B429FBD0C18B	03C462654785C043CD37122468E86379	32812820	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.5μM, Day 4 [Pac0.5muMR2]	Bioengineering, McGill University	9606	SRS16516323	GSM6945998	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.5μM Paclitaxel	MDA.MB.231.0.5μM.Paclitaxel
SAMN32812821	SRR23153400	2023-02-15T21:36:26Z	2023-01-20T13:06:14Z	67108960	13556009920	67108960	202	4221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153400/SRR23153400.lite.1	SRX19104013	GSM6945997	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516324	simple	9606	Homo sapiens	GSM6945997							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	E7EF52F0099CB441F1E7A0E8B09F63D0	C087A1CB2EF08A6AF3B9032350FC00B3	32812821	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.5μM, Day 4 [Pac0.5muMR1]	Bioengineering, McGill University	9606	SRS16516324	GSM6945997	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.5μM Paclitaxel	MDA.MB.231.0.5μM.Paclitaxel
SAMN32812822	SRR23153401	2023-02-15T21:36:26Z	2023-01-20T13:07:14Z	70448298	14230556196	70448298	202	4400		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153401/SRR23153401.lite.1	SRX19104012	GSM6945996	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516322	simple	9606	Homo sapiens	GSM6945996							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	A3A0C36457FC46195F831BA9BB044DD1	0EA469834A1EEBD956DFC676AF7ECFEC	32812822	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.05μM, Day 4 [Pac0.05muMR2]	Bioengineering, McGill University	9606	SRS16516322	GSM6945996	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.05μM Paclitaxel	MDA.MB.231.0.05μM.Paclitaxel
SAMN32812823	SRR23153402	2023-02-15T21:36:26Z	2023-01-20T13:07:06Z	71162403	14374805406	71162403	202	4457		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153402/SRR23153402.lite.1	SRX19104011	GSM6945995	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516321	simple	9606	Homo sapiens	GSM6945995							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	600E4123D2D73FFB14189281B557905F	2DDF72EDB4AA21443D41438E996A491D	32812823	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.05μM, Day 4 [Pac0.05muMR1]	Bioengineering, McGill University	9606	SRS16516321	GSM6945995	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.05μM Paclitaxel	MDA.MB.231.0.05μM.Paclitaxel
SAMN32812824	SRR23153403	2023-02-15T21:36:26Z	2023-01-20T12:49:48Z	80272588	16215062776	80272588	202	5018		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153403/SRR23153403.lite.1	SRX19104010	GSM6945994	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516320	simple	9606	Homo sapiens	GSM6945994							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	AEEE9DF40FFE1E37D22022F3A9982364	418CDBB9C54818928FA7FA0507D67501	32812824	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.005μM, Day 4 [Pac0.005muMR2]	Bioengineering, McGill University	9606	SRS16516320	GSM6945994	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.005μM Paclitaxel	MDA.MB.231.0.005μM.Paclitaxel
SAMN32812825	SRR23153404	2023-02-15T21:36:26Z	2023-01-20T13:06:26Z	84477050	17064364100	84477050	202	5274		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153404/SRR23153404.lite.1	SRX19104009	GSM6945993	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516319	simple	9606	Homo sapiens	GSM6945993							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	BA11214F424894EB6E18ED52EB9F1F00	A56C2AD836894959438C39D116E2948C	32812825	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.005μM, Day 4 [Pac0.005muMR1]	Bioengineering, McGill University	9606	SRS16516319	GSM6945993	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.005μM Paclitaxel	MDA.MB.231.0.005μM.Paclitaxel
SAMN32812826	SRR23153405	2023-02-15T21:36:26Z	2023-01-20T13:05:59Z	64456085	13020129170	64456085	202	4032		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153405/SRR23153405.lite.1	SRX19104008	GSM6945992	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516318	simple	9606	Homo sapiens	GSM6945992							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	FD5E8B33BC5F7A2134BCBBBA640DC6A9	2EFB9A23A242E47D22065C95B0052AA4	32812826	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.0005μM, Day 4 [Pac0.0005muMR2]	Bioengineering, McGill University	9606	SRS16516318	GSM6945992	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.0005μM Paclitaxel	MDA.MB.231.0.0005μM.Paclitaxel
SAMN32812827	SRR23153406	2023-02-15T21:36:26Z	2023-01-20T13:01:56Z	77529554	15660969908	77529554	202	4856		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153406/SRR23153406.lite.1	SRX19104007	GSM6945991	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516317	simple	9606	Homo sapiens	GSM6945991							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	535AE3759254A3DCD9C505341836AE64	2DD2279AF5C87C04D07F3B85E861AFA5	32812827	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.0005μM, Day 4 [Pac0.0005muMR1]	Bioengineering, McGill University	9606	SRS16516317	GSM6945991	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.0005μM Paclitaxel	MDA.MB.231.0.0005μM.Paclitaxel
SAMN32812828	SRR23153407	2023-02-15T21:36:26Z	2023-01-20T13:01:30Z	56926679	11499189158	56926679	202	3570		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153407/SRR23153407.lite.1	SRX19104006	GSM6945990	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516315	simple	9606	Homo sapiens	GSM6945990							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	DBFFE3AEAE7DE2EDAED28B65A466707B	87908B243B108F9422C840E1F5CB9D00	32812828	TNBC cells from MDA-MB-231 cell line, no treatment, Day 4 [C2R2]	Bioengineering, McGill University	9606	SRS16516315	GSM6945990	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment	MDA.MB.231.no.treatment
SAMN32812829	SRR23153408	2023-02-15T21:36:26Z	2023-01-20T12:57:17Z	63647491	12856793182	63647491	202	3966		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23153/SRR23153408/SRR23153408.lite.1	SRX19104005	GSM6945989	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP418448	PRJNA925859		925859	SRS16516316	simple	9606	Homo sapiens	GSM6945989							no					BIOENGINEERING, MCGILL UNIVERSITY	SRA1577397		public	2A05EC83142012AF6604D97735E5C525	BB93DA9E1D5CB9253C154ED23EAAFA33	32812829	TNBC cells from MDA-MB-231 cell line, no treatment, Day 4 [C2R1]	Bioengineering, McGill University	9606	SRS16516316	GSM6945989	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment	MDA.MB.231.no.treatment
