accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	treatment
SAMN32812820	32812820	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.5μM, Day 4 [Pac0.5muMR2]	Bioengineering, McGill University	9606	SRS16516323	GSM6945998	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.5μM Paclitaxel
SAMN32812821	32812821	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.5μM, Day 4 [Pac0.5muMR1]	Bioengineering, McGill University	9606	SRS16516324	GSM6945997	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.5μM Paclitaxel
SAMN32812822	32812822	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.05μM, Day 4 [Pac0.05muMR2]	Bioengineering, McGill University	9606	SRS16516322	GSM6945996	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.05μM Paclitaxel
SAMN32812823	32812823	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.05μM, Day 4 [Pac0.05muMR1]	Bioengineering, McGill University	9606	SRS16516321	GSM6945995	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.05μM Paclitaxel
SAMN32812824	32812824	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.005μM, Day 4 [Pac0.005muMR2]	Bioengineering, McGill University	9606	SRS16516320	GSM6945994	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.005μM Paclitaxel
SAMN32812825	32812825	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.005μM, Day 4 [Pac0.005muMR1]	Bioengineering, McGill University	9606	SRS16516319	GSM6945993	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.005μM Paclitaxel
SAMN32812826	32812826	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.0005μM, Day 4 [Pac0.0005muMR2]	Bioengineering, McGill University	9606	SRS16516318	GSM6945992	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.0005μM Paclitaxel
SAMN32812827	32812827	TNBC cells from MDA-MB-231 cell line, treated with Paclitaxel, dose: 0.0005μM, Day 4 [Pac0.0005muMR1]	Bioengineering, McGill University	9606	SRS16516317	GSM6945991	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	0.0005μM Paclitaxel
SAMN32812828	32812828	TNBC cells from MDA-MB-231 cell line, no treatment, Day 4 [C2R2]	Bioengineering, McGill University	9606	SRS16516315	GSM6945990	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment
SAMN32812829	32812829	TNBC cells from MDA-MB-231 cell line, no treatment, Day 4 [C2R1]	Bioengineering, McGill University	9606	SRS16516316	GSM6945989	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment
SAMN32812830	32812830	TNBC cells from MDA-MB-231 cell line, no treatment, Day 2 [C1R2]	Bioengineering, McGill University	9606	SRS16516313	GSM6945988	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment
SAMN32812831	32812831	TNBC cells from MDA-MB-231 cell line, no treatment, Day 2 [C1R1]	Bioengineering, McGill University	9606	SRS16516314	GSM6945987	MDA-MB-231	Triple Negative Breast Cancer	WT	MDA-MB-231	no treatment
