accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN04100716	4100716	SW480JQ1 1	Genentech	9606	SRS1079477	GSM1890703	SW 480	SW 480	JQ.1
SAMN04100717	4100717	HT29DMSO 1	Genentech	9606	SRS1079474	GSM1890706	HT-29	HT-29	DMSO
SAMN04100718	4100718	HT29DMSO 2	Genentech	9606	SRS1079473	GSM1890707	HT-29	HT-29	DMSO
SAMN04100719	4100719	HT29DMSO 3	Genentech	9606	SRS1079472	GSM1890708	HT-29	HT-29	DMSO
SAMN04100720	4100720	HT29JQ1 1	Genentech	9606	SRS1079471	GSM1890709	HT-29	HT-29	JQ.1
SAMN04100721	4100721	HT29JQ1 2	Genentech	9606	SRS1079470	GSM1890710	HT-29	HT-29	JQ.1
SAMN04100722	4100722	HT29JQ1 3	Genentech	9606	SRS1079469	GSM1890711	HT-29	HT-29	JQ.1
SAMN04100724	4100724	COLO205DMSO 1	Genentech	9606	SRS1079468	GSM1890712	COLO 205	COLO 205	DMSO
SAMN04100725	4100725	COLO205DMSO 2	Genentech	9606	SRS1079519	GSM1890713	COLO 205	COLO 205	DMSO
SAMN04100726	4100726	SW480JQ1 2	Genentech	9606	SRS1079476	GSM1890704	SW 480	SW 480	JQ.1
SAMN04100727	4100727	SW480JQ1 3	Genentech	9606	SRS1079475	GSM1890705	SW 480	SW 480	JQ.1
SAMN04100728	4100728	COLO205DMSO 3	Genentech	9606	SRS1079518	GSM1890714	COLO 205	COLO 205	DMSO
SAMN04100729	4100729	COLO205JQ1 1	Genentech	9606	SRS1079517	GSM1890715	COLO 205	COLO 205	JQ.1
SAMN04100730	4100730	COLO205JQ1 2	Genentech	9606	SRS1079516	GSM1890716	COLO 205	COLO 205	JQ.1
SAMN04100731	4100731	COLO205JQ1 3	Genentech	9606	SRS1079515	GSM1890717	COLO 205	COLO 205	JQ.1
SAMN04100732	4100732	HCT15DMSO 1	Genentech	9606	SRS1079513	GSM1890718	HCT-15	HCT-15	DMSO
SAMN04100733	4100733	HCT15DMSO 2	Genentech	9606	SRS1079514	GSM1890719	HCT-15	HCT-15	DMSO
SAMN04100734	4100734	HCT15DMSO 3	Genentech	9606	SRS1079512	GSM1890720	HCT-15	HCT-15	DMSO
SAMN04100735	4100735	HCT15JQ1 1	Genentech	9606	SRS1079511	GSM1890721	HCT-15	HCT-15	JQ.1
SAMN04100736	4100736	HCT15JQ1 2	Genentech	9606	SRS1079510	GSM1890722	HCT-15	HCT-15	JQ.1
SAMN04100737	4100737	HCT15JQ1 3	Genentech	9606	SRS1079509	GSM1890723	HCT-15	HCT-15	JQ.1
SAMN04100738	4100738	COLO320DMSO 1	Genentech	9606	SRS1079508	GSM1890724	COLO 320	COLO 320	DMSO
SAMN04100739	4100739	COLO320DMSO 2	Genentech	9606	SRS1079507	GSM1890725	COLO 320	COLO 320	DMSO
SAMN04100740	4100740	COLO320DMSO 3	Genentech	9606	SRS1079506	GSM1890726	COLO 320	COLO 320	DMSO
SAMN04100741	4100741	COLO320JQ1 1	Genentech	9606	SRS1079504	GSM1890727	COLO 320	COLO 320	JQ.1
SAMN04100742	4100742	COLO320JQ1 2	Genentech	9606	SRS1079503	GSM1890728	COLO 320	COLO 320	JQ.1
SAMN04100743	4100743	COLO320JQ1 3	Genentech	9606	SRS1079502	GSM1890729	COLO 320	COLO 320	JQ.1
SAMN04100762	4100762	HCT116DMSO 1	Genentech	9606	SRS1079487	GSM1890694	HCT 116	HCT 116	DMSO
SAMN04100763	4100763	HCT116DMSO 2	Genentech	9606	SRS1079486	GSM1890695	HCT 116	HCT 116	DMSO
SAMN04100764	4100764	HCT116DMSO 3	Genentech	9606	SRS1079485	GSM1890696	HCT 116	HCT 116	DMSO
SAMN04100765	4100765	HCT116JQ1 1	Genentech	9606	SRS1079484	GSM1890697	HCT 116	HCT 116	JQ.1
SAMN04100766	4100766	HCT116JQ1 2	Genentech	9606	SRS1079482	GSM1890698	HCT 116	HCT 116	JQ.1
SAMN04100767	4100767	HCT116JQ1 3	Genentech	9606	SRS1079481	GSM1890699	HCT 116	HCT 116	JQ.1
SAMN04100768	4100768	SW480DMSO 1	Genentech	9606	SRS1079480	GSM1890700	SW 480	SW 480	DMSO
SAMN04100769	4100769	SW480DMSO 2	Genentech	9606	SRS1079479	GSM1890701	SW 480	SW 480	DMSO
SAMN04100770	4100770	SW480DMSO 3	Genentech	9606	SRS1079478	GSM1890702	SW 480	SW 480	DMSO
