accession	uid	title	organization	taxonomy	sra	geo	source_name	treatment
SAMN09354153	9354153	OSUCLL DMSO 0 24h rep 1	The Ohio State University	9606	SRS3374271	GSM3175567	OSU-CLL cell line	DMSO
SAMN09354155	9354155	OSUCLL LEN 1 5h rep 1	The Ohio State University	9606	SRS3374270	GSM3175566	OSU-CLL cell line	LEN
SAMN09354157	9354157	OSUCLL CC122 1 5h rep 1	The Ohio State University	9606	SRS3374269	GSM3175565	OSU-CLL cell line	CC122
SAMN09354160	9354160	OSUCLL CC122 0.1 5h rep 1	The Ohio State University	9606	SRS3374290	GSM3175564	OSU-CLL cell line	CC122
SAMN09354163	9354163	OSUCLL DMSO 0 5h rep 1	The Ohio State University	9606	SRS3374268	GSM3175563	OSU-CLL cell line	DMSO
SAMN09354249	9354249	OSUCLL LEN 1 24h rep 3	The Ohio State University	9606	SRS3374291	GSM3175586	OSU-CLL cell line	LEN
SAMN09354251	9354251	OSUCLL CC122 1 24h rep 3	The Ohio State University	9606	SRS3374289	GSM3175585	OSU-CLL cell line	CC122
SAMN09354253	9354253	OSUCLL CC122 0.1 24h rep 3	The Ohio State University	9606	SRS3374288	GSM3175584	OSU-CLL cell line	CC122
SAMN09354254	9354254	OSUCLL DMSO 0 24h rep 3	The Ohio State University	9606	SRS3374287	GSM3175583	OSU-CLL cell line	DMSO
SAMN09354256	9354256	OSUCLL LEN 1 5h rep 3	The Ohio State University	9606	SRS3374286	GSM3175582	OSU-CLL cell line	LEN
SAMN09354257	9354257	OSUCLL CC122 1 5h rep 3	The Ohio State University	9606	SRS3374285	GSM3175581	OSU-CLL cell line	CC122
SAMN09354259	9354259	OSUCLL CC122 0.1 5h rep 3	The Ohio State University	9606	SRS3374284	GSM3175580	OSU-CLL cell line	CC122
SAMN09354261	9354261	OSUCLL DMSO 0 5h rep 3	The Ohio State University	9606	SRS3374283	GSM3175579	OSU-CLL cell line	DMSO
SAMN09354262	9354262	OSUCLL LEN 1 24h rep 2	The Ohio State University	9606	SRS3374282	GSM3175578	OSU-CLL cell line	LEN
SAMN09354264	9354264	OSUCLL CC122 1 24h rep 2	The Ohio State University	9606	SRS3374281	GSM3175577	OSU-CLL cell line	CC122
SAMN09354266	9354266	OSUCLL CC122 0.1 24h rep 2	The Ohio State University	9606	SRS3374280	GSM3175576	OSU-CLL cell line	CC122
SAMN09354267	9354267	OSUCLL DMSO 0 24h rep 2	The Ohio State University	9606	SRS3374279	GSM3175575	OSU-CLL cell line	DMSO
SAMN09354269	9354269	OSUCLL LEN 1 5h rep 2	The Ohio State University	9606	SRS3374278	GSM3175574	OSU-CLL cell line	LEN
SAMN09354270	9354270	OSUCLL CC122 1 5h rep 2	The Ohio State University	9606	SRS3374277	GSM3175573	OSU-CLL cell line	CC122
SAMN09354272	9354272	OSUCLL CC122 0.1 5h rep 2	The Ohio State University	9606	SRS3374276	GSM3175572	OSU-CLL cell line	CC122
SAMN09354274	9354274	OSUCLL DMSO 0 5h rep 2	The Ohio State University	9606	SRS3374275	GSM3175571	OSU-CLL cell line	DMSO
SAMN09354275	9354275	OSUCLL LEN 1 24h rep 1	The Ohio State University	9606	SRS3374274	GSM3175570	OSU-CLL cell line	LEN
SAMN09354277	9354277	OSUCLL CC122 1 24h rep 1	The Ohio State University	9606	SRS3374273	GSM3175569	OSU-CLL cell line	CC122
SAMN09354279	9354279	OSUCLL CC122 0.1 24h rep 1	The Ohio State University	9606	SRS3374272	GSM3175568	OSU-CLL cell line	CC122
