BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment	group
SAMN16816233	SRR13073053	2021-03-30T19:38:30Z	2020-11-17T11:57:02Z	42463452	12739035600	42463452	300	3847		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073053/SRR13073053.lite.1	SRX9520201		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727437	simple	9606	Homo sapiens	GSM4910866							no					GEO	SRA1160187		public	2E5555B891B7D421E5D3EA09A4902CB7	79D78F172EFBAD7227291FEA7492EBD0	16816233	143B-EC-8042-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727437	GSM4910866	143-B	tumor cell line	osteosarcoma cell line	100 nM EC-8042	X143.B.100.nM.EC.8042
SAMN16816234	SRR13073052	2021-03-30T19:38:30Z	2020-11-17T11:49:39Z	42089761	12626928300	42089761	300	3782		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13073/SRR13073052/SRR13073052.lite.1	SRX9520200		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727436	simple	9606	Homo sapiens	GSM4910865							no					GEO	SRA1160187		public	236E48AFEF5BF913867D9DD53EB160A2	ACD207A472554A351157D711835B627D	16816234	143B-EC-8042-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727436	GSM4910865	143-B	tumor cell line	osteosarcoma cell line	100 nM EC-8042	X143.B.100.nM.EC.8042
SAMN16816235	SRR13073051	2021-03-30T19:38:30Z	2020-11-17T11:54:13Z	40968962	12290688600	40968962	300	3697		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13073/SRR13073051/SRR13073051.lite.1	SRX9520199		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727435	simple	9606	Homo sapiens	GSM4910864							no					GEO	SRA1160187		public	E8EBF04712E3350917DBD63188356620	DB47F02AE48D938D65DC6ED679517754	16816235	143B-control-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727435	GSM4910864	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)	X143.B.vehicle..DMSO.
SAMN16816236	SRR13073050	2021-03-30T19:38:30Z	2020-11-17T11:53:14Z	43096651	12928995300	43096651	300	3922		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13073/SRR13073050/SRR13073050.lite.1	SRX9520198		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727434	simple	9606	Homo sapiens	GSM4910863							no					GEO	SRA1160187		public	6F0B0A03A1B86A0319C505644BE364E2	7D694EDC187F38BB3ED4A902616EC12F	16816236	143B-control-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727434	GSM4910863	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)	X143.B.vehicle..DMSO.
SAMN16816237	SRR13073049	2021-03-30T19:38:30Z	2020-11-17T11:48:25Z	42174144	12652243200	42174144	300	3860		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073049/SRR13073049.lite.1	SRX9520197		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727433	simple	9606	Homo sapiens	GSM4910862							no					GEO	SRA1160187		public	58D0FBE658D6DE5D796036ED21F1BCE7	B9161B88FE24E2DCE42DEB1B63127E58	16816237	143B-control-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727433	GSM4910862	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)	X143.B.vehicle..DMSO.
SAMN16816238	SRR13073048	2021-03-30T19:38:30Z	2020-11-17T11:51:36Z	43150862	12945258600	43150862	300	3936		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13073/SRR13073048/SRR13073048.lite.1	SRX9520196		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727432	simple	9606	Homo sapiens	GSM4910861							no					GEO	SRA1160187		public	FD60D92F0520559D500FDBC83E54D29D	5FAD11A7402DAB05C88AD67DDCB8F24F	16816238	T-5H-FC-EC-8042-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727432	GSM4910861	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042	T.5H.FC.1.300.nM.EC.8042
SAMN16816239	SRR13073047	2021-03-30T19:38:30Z	2020-11-17T11:49:07Z	41110568	12333170400	41110568	300	3644		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073047/SRR13073047.lite.1	SRX9520195		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727431	simple	9606	Homo sapiens	GSM4910860							no					GEO	SRA1160187		public	663B2EA28B8B96D29B43C602706A44C2	EDE83CC629164B7184A2DA8470DCF5E6	16816239	T-5H-FC-EC-8042-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727431	GSM4910860	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042	T.5H.FC.1.300.nM.EC.8042
SAMN16816240	SRR13073046	2021-03-30T19:38:30Z	2020-11-17T11:45:20Z	40963844	12289153200	40963844	300	3706		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073046/SRR13073046.lite.1	SRX9520194		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727430	simple	9606	Homo sapiens	GSM4910859							no					GEO	SRA1160187		public	92A0388987FCABCDB66008A21DE24937	D5EBBBB4CEA095E9DB1906574007FA9F	16816240	T-5H-FC-EC-8042-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727430	GSM4910859	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042	T.5H.FC.1.300.nM.EC.8042
SAMN16816241	SRR13073045	2021-03-30T19:38:30Z	2020-11-17T11:49:15Z	41833125	12549937500	41833125	300	3758		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073045/SRR13073045.lite.1	SRX9520193		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727429	simple	9606	Homo sapiens	GSM4910858							no					GEO	SRA1160187		public	6AB09DB1D760026AEDFCA0BDB8850F1D	ECB8899016468C22A3A7ACB808518944	16816241	T-5H-FC-NP_MTA-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727429	GSM4910858	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A loaded in polymeric nanoparticles	T.5H.FC.1.25.mM.Mithramycin.A.loaded.in.polymeric.nanoparticles
SAMN16816242	SRR13073044	2021-03-30T19:38:30Z	2020-11-17T11:47:58Z	41095036	12328510800	41095036	300	3701		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13073/SRR13073044/SRR13073044.lite.1	SRX9520192		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP292901	PRJNA678952	3	678952	SRS7727428	simple	9606	Homo sapiens	GSM4910857							no					GEO	SRA1160187		public	C48C55BD2F52EF37B280E0815CF49065	07170AD21B9024A2A36103E972F2F96E	16816242	T-5H-FC-NP_MTA-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727428	GSM4910857	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A loaded in polymeric nanoparticles	T.5H.FC.1.25.mM.Mithramycin.A.loaded.in.polymeric.nanoparticles
