accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN16816233	16816233	143B-EC-8042-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727437	GSM4910866	143-B	tumor cell line	osteosarcoma cell line	100 nM EC-8042
SAMN16816234	16816234	143B-EC-8042-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727436	GSM4910865	143-B	tumor cell line	osteosarcoma cell line	100 nM EC-8042
SAMN16816235	16816235	143B-control-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727435	GSM4910864	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)
SAMN16816236	16816236	143B-control-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727434	GSM4910863	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)
SAMN16816237	16816237	143B-control-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727433	GSM4910862	143-B	tumor cell line	osteosarcoma cell line	vehicle (DMSO)
SAMN16816238	16816238	T-5H-FC-EC-8042-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727432	GSM4910861	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042
SAMN16816239	16816239	T-5H-FC-EC-8042-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727431	GSM4910860	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042
SAMN16816240	16816240	T-5H-FC-EC-8042-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727430	GSM4910859	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	300 nM EC-8042
SAMN16816241	16816241	T-5H-FC-NP_MTA-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727429	GSM4910858	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A loaded in polymeric nanoparticles
SAMN16816242	16816242	T-5H-FC-NP_MTA-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727428	GSM4910857	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A loaded in polymeric nanoparticles
SAMN16816243	16816243	T-5H-FC-NP_MTA-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727427	GSM4910856	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A loaded in polymeric nanoparticles
SAMN16816244	16816244	T-5H-FC-free_MTA-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727426	GSM4910855	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A
SAMN16816245	16816245	T-5H-FC-free_MTA-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727425	GSM4910854	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A
SAMN16816246	16816246	T-5H-FC-free_MTA-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727424	GSM4910853	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	25 mM Mithramycin A
SAMN16816247	16816247	T-5H-FC-control-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727422	GSM4910852	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	vehicle (DMSO)
SAMN16816249	16816249	T-5H-FC-control-rep2	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727423	GSM4910851	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	vehicle (DMSO)
SAMN16816251	16816251	T-5H-FC-control-rep1	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727421	GSM4910850	T-5H-FC#1	mesenchymal stem cell-derived tumor model	myxoid liposarcoma model	vehicle (DMSO)
SAMN16816252	16816252	143B-EC-8042-rep3	Sarcomas and Experimental Therapeutics, Health Research Institute of Asturias (ISPA)	9606	SRS7727438	GSM4910867	143-B	tumor cell line	osteosarcoma cell line	100 nM EC-8042
