BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN07796273	SRR6182778	2019-09-18T15:34:09Z	2017-10-17T15:45:19Z	41986205	4216093364	0	100	1447		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182778/SRR6182778.1	SRX3292950		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602029	simple	9606	Homo sapiens	GSM2817878							no					GEO	SRA620426		public	653160C6C7E2E1C28ED2B1DB2AA6DE8E	D819316DAB0E0EF5682798167822CAE7	7796273	Unstimulated HCT116 cells (time 0 mins) - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602029	GSM2817878	HCT116 colorectal cancer cells	HCT116	Colon	unstimulated
SAMN07796274	SRR6182777	2019-09-18T15:34:09Z	2017-10-17T15:45:56Z	44873631	4508502710	0	100	1562		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182777/SRR6182777.1	SRX3292949		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602028	simple	9606	Homo sapiens	GSM2817877							no					GEO	SRA620426		public	4BAD80968D0E0EE98420D4DF1CCC839C	BF2C9898F2A557873AC29BC6CEB66E3C	7796274	Unstimulated HCT116 cells (time 0 mins) - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602028	GSM2817877	HCT116 colorectal cancer cells	HCT116	Colon	unstimulated
SAMN07796275	SRR6182785	2019-09-18T15:34:09Z	2017-10-17T15:52:11Z	44046051	4317595133	0	98	1538		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182785/SRR6182785.1	SRX3292958		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602036	simple	9606	Homo sapiens	GSM2817885							no					GEO	SRA620426		public	9251E63DFEC6618F1FB9E2B2A001E90D	690E4DEC5D72F4AFE9FDD32C464B882F	7796275	HCT116 cells 30 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602036	GSM2817885	HCT116 colorectal cancer cells	HCT116	Colon	30 mins post stimulation with TGF-alpha
SAMN07796276	SRR6182784	2019-09-18T15:34:09Z	2017-10-17T15:49:18Z	44497255	4458531187	0	100	1486		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182784/SRR6182784.1	SRX3292957		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602037	simple	9606	Homo sapiens	GSM2817884							no					GEO	SRA620426		public	3D7073177A941CFBF48D544E604F3E1C	8D976ED6CF5FFDCC7AEC908282443ADA	7796276	HCT116 cells 30 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602037	GSM2817884	HCT116 colorectal cancer cells	HCT116	Colon	30 mins post stimulation with TGF-alpha
SAMN07796277	SRR6182787	2019-09-18T15:34:09Z	2017-10-17T16:02:29Z	89774044	8987970180	0	100	3006		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182787/SRR6182787.1	SRX3292960		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602039	simple	9606	Homo sapiens	GSM2817887							no					GEO	SRA620426		public	59192A7E8BA6E400319C9B61CCBE7486	122E72E39A09224C2E177232724B599B	7796277	HCT116 cells 60 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602039	GSM2817887	HCT116 colorectal cancer cells	HCT116	Colon	60 mins post stimulation with TGF-alpha
SAMN07796278	SRR6182786	2019-09-18T15:34:09Z	2017-10-17T15:46:04Z	42244195	4187862945	0	99	1409		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182786/SRR6182786.1	SRX3292959		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602038	simple	9606	Homo sapiens	GSM2817886							no					GEO	SRA620426		public	F91AD280B26653385FAB11799C0F2710	41FFD38D32E0971974FECA44DE434DBF	7796278	HCT116 cells 60 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602038	GSM2817886	HCT116 colorectal cancer cells	HCT116	Colon	60 mins post stimulation with TGF-alpha
SAMN07796279	SRR6182781	2019-09-18T15:34:09Z	2017-10-17T15:45:53Z	36926447	3683335195	0	99	1341		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182781/SRR6182781.1	SRX3292953		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602032	simple	9606	Homo sapiens	GSM2817881							no					GEO	SRA620426		public	C0ACCF4ADC03B752B31F7DBC8D19656C	EA613A1AE631FF2D38D7B29C38D9D951	7796279	HCT116 cells 15 mins post stimulation with TGF-alpha - Replicate 2	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602032	GSM2817881	HCT116 colorectal cancer cells	HCT116	Colon	15 mins post stimulation with TGF-alpha
SAMN07796280	SRR6182782	2019-09-18T15:34:09Z	2017-10-17T15:58:27Z	67111297	6741378788	0	100	2342		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182782/SRR6182782.1	SRX3292955		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602035	simple	9606	Homo sapiens	GSM2817882							no					GEO	SRA620426		public	E08E070B33BDBFFC658F43469EE02D35	38C1D8AF79C0BF8A7B5727A8984E1239	7796280	HCT116 cells 15 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602035	GSM2817882	HCT116 colorectal cancer cells	HCT116	Colon	15 mins post stimulation with TGF-alpha
SAMN07796281	SRR6182783	2019-09-18T15:34:09Z	2017-10-17T15:45:53Z	39876650	3972801905	0	99	1347		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182783/SRR6182783.1	SRX3292956		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602034	simple	9606	Homo sapiens	GSM2817883							no					GEO	SRA620426		public	B6FE0661A3E8F91490AECDA0FBE3DAF1	E837DF3A7C5B8061339240B1FB742CC4	7796281	HCT116 cells 30 mins post stimulation with TGF-alpha - Replicate 1	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602034	GSM2817883	HCT116 colorectal cancer cells	HCT116	Colon	30 mins post stimulation with TGF-alpha
SAMN07796282	SRR6182812	2019-09-18T15:34:10Z	2017-10-17T15:57:02Z	53422996	5343896429	0	100	1838		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6182812/SRR6182812.1	SRX3292986		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP120173	PRJNA414626	3	414626	SRS2602065	simple	9606	Homo sapiens	GSM2817912							no					GEO	SRA620426		public	4BE4D2404587F0BFA954AC73D0A3AFCD	8272267FC36A676A819E0A37FFCB71E9	7796282	HKE3 cells 120 mins post stimulation with TGF-alpha - Replicate 3	EMBL-Australia Lynn Group, Infection and Immunity, South Australian Health and Medical Research Institute	9606	SRS2602065	GSM2817912	HKE3 colorectal cancer cells	HKE3	Colon	120 mins post stimulation with TGF-alpha
