BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment	group
SAMN12230532	SRR9652328	2019-07-09T16:14:08Z	2019-07-08T11:45:45Z	17734065	1418725200	0	80	627		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9652328/SRR9652328.1	SRX6413757		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070846	simple	9606	Homo sapiens	GSM3930429							no					GEO	SRA918424		public	790D2EEDF778F4528E8B1BCB6FBC06ED	D60271AD1ED7A88213BE2717777DE57D	12230532	GYY_1	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070846	GSM3930429	THP1	Monocyte cell culture	Monocyte cell culture	GYY	GYY
SAMN12230531	SRR9652329	2019-07-09T16:14:08Z	2019-07-08T11:47:05Z	21438657	1715092560	0	80	761		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9652329/SRR9652329.1	SRX6413758		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070847	simple	9606	Homo sapiens	GSM3930430							no					GEO	SRA918424		public	D27A38B577C6E87B306C4F7C89F64759	AF881031CCB37931627812952022B5E8	12230531	GYY_2	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070847	GSM3930430	THP1	Monocyte cell culture	Monocyte cell culture	GYY	GYY
SAMN12230530	SRR9652330	2019-07-09T16:14:08Z	2019-07-08T11:45:02Z	16480019	1318401520	0	80	589		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9652330/SRR9652330.1	SRX6413759		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070848	simple	9606	Homo sapiens	GSM3930431							no					GEO	SRA918424		public	746C7A292173AF0856B2C8E2010A69A8	31DBFB802CB9CA695B0AA33463BA5902	12230530	GYY_3	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070848	GSM3930431	THP1	Monocyte cell culture	Monocyte cell culture	GYY	GYY
SAMN12230529	SRR9652331	2019-07-09T16:14:08Z	2019-07-08T11:45:24Z	15964370	1277149600	0	80	564		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9652331/SRR9652331.1	SRX6413760		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070849	simple	9606	Homo sapiens	GSM3930432							no					GEO	SRA918424		public	B34884F2FA50F70945606D4EF4844E24	FB34EF7ECF2E163F05003E916DB45EC7	12230529	GYY_4	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070849	GSM3930432	THP1	Monocyte cell culture	Monocyte cell culture	GYY	GYY
SAMN12230528	SRR9652332	2019-07-09T16:14:08Z	2019-07-08T11:48:49Z	22963017	1837041360	0	80	814		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9652332/SRR9652332.1	SRX6413761		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070850	simple	9606	Homo sapiens	GSM3930433							no					GEO	SRA918424		public	F3A14B6FCED0F037DCB1DEAAE2E92579	428F227C7A0CBAD46B43B7F0E04971A7	12230528	GYY+LPS_1	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070850	GSM3930433	THP1	Monocyte cell culture	Monocyte cell culture	GYY+LPS	GYY_LPS
SAMN12230527	SRR9652333	2019-07-09T16:14:08Z	2019-07-08T11:45:35Z	18276422	1462113760	0	80	649		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9652333/SRR9652333.1	SRX6413762		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070851	simple	9606	Homo sapiens	GSM3930434							no					GEO	SRA918424		public	3CC6A53D3518D861705482B1D04F178D	658A208050C9D40B13F9B672A08DA28C	12230527	GYY+LPS_2	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070851	GSM3930434	THP1	Monocyte cell culture	Monocyte cell culture	GYY+LPS	GYY_LPS
SAMN12230526	SRR9652334	2019-07-09T16:14:08Z	2019-07-08T11:47:37Z	18769756	1501580480	0	80	668		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9652334/SRR9652334.1	SRX6413763		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070852	simple	9606	Homo sapiens	GSM3930435							no					GEO	SRA918424		public	8D1EB5A4E15835FBF1D36E500365F582	909C28499864CF892701E13A374C6533	12230526	GYY+LPS_3	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070852	GSM3930435	THP1	Monocyte cell culture	Monocyte cell culture	GYY+LPS	GYY_LPS
SAMN12230525	SRR9652335	2019-07-09T16:14:08Z	2019-07-08T11:44:54Z	15418474	1233477920	0	80	552		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9652335/SRR9652335.1	SRX6413764		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070853	simple	9606	Homo sapiens	GSM3930436							no					GEO	SRA918424		public	D900784EF147C8EC7A87B0035C02C693	358ACB30F609E0A6E96FD93D3B34E9F5	12230525	GYY+LPS_4	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070853	GSM3930436	THP1	Monocyte cell culture	Monocyte cell culture	GYY+LPS	GYY_LPS
SAMN12230524	SRR9652336	2019-07-09T16:14:08Z	2019-07-08T11:44:18Z	16033279	1282662320	0	80	571		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9652336/SRR9652336.1	SRX6413765		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070854	simple	9606	Homo sapiens	GSM3930437							no					GEO	SRA918424		public	B11F736D5292C3E6453393972BEE7F2F	92BFEEA7ABD07A5DDDFA9482F682E0C3	12230524	K_1	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070854	GSM3930437	THP1	Monocyte cell culture	Monocyte cell culture	control	control
SAMN12230523	SRR9652337	2019-07-09T16:14:08Z	2019-07-08T11:46:43Z	17675869	1414069520	0	80	628		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR9652337/SRR9652337.1	SRX6413766		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP213631	PRJNA553180		553180	SRS5070855	simple	9606	Homo sapiens	GSM3930438							no					GEO	SRA918424		public	D7D50F6E1E331EC679B4B26B55B4F619	6908D9B21B385A1A6374DDD9F6FF5BF4	12230523	K_2	Laboratory of molecular mechanisms of biological adaptation, Russian Academy of Sciences, Engelhardt Molecular Biology Institute	9606	SRS5070855	GSM3930438	THP1	Monocyte cell culture	Monocyte cell culture	control	control
