BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment	group
SAMN04632402	SRR3356059	2016-07-20T09:57:24Z	2016-04-11T12:55:30Z	16000000	816000000	0	51	303		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3356059/SRR3356059.1	SRX1689920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384182	simple	9606	Homo sapiens	GSM2113428							no					GEO	SRA409028		public	AD8EBD7D9471F93F09666DFE79305A86	86E78CEB4D3BB6A631B55D0E40B056F7	4632402	LNT-229_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384182	GSM2113428	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632402	SRR3356060	2016-07-20T09:57:24Z	2016-04-11T12:53:54Z	690187	35199537	0	51	14		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3356060/SRR3356060.1	SRX1689920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384182	simple	9606	Homo sapiens	GSM2113428							no					GEO	SRA409028		public	1A7C46A63F756FAACCD6B4CF2F058207	D2FC6612E698C82D26947C62C49415A3	4632402	LNT-229_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384182	GSM2113428	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632402	SRR3356061	2016-07-20T09:57:24Z	2016-04-11T12:55:43Z	16000000	816000000	0	51	307		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3356061/SRR3356061.1	SRX1689920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384182	simple	9606	Homo sapiens	GSM2113428							no					GEO	SRA409028		public	8E164BE1A6947ADF811BD6736BFE949F	A81366113FB779D7538ED50E415DC40A	4632402	LNT-229_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384182	GSM2113428	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632402	SRR3356062	2016-07-20T09:57:24Z	2016-04-11T12:53:54Z	661311	33726861	0	51	13		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3356062/SRR3356062.1	SRX1689920		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384182	simple	9606	Homo sapiens	GSM2113428							no					GEO	SRA409028		public	09759B627D963387EFACB17BBA084E3A	5F33F651E956136C78945D6306F2431C	4632402	LNT-229_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384182	GSM2113428	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632403	SRR3356063	2016-07-20T09:57:24Z	2016-04-11T12:55:26Z	15601356	795669156	0	51	296		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3356063/SRR3356063.1	SRX1689921		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384181	simple	9606	Homo sapiens	GSM2113429							no					GEO	SRA409028		public	FE2E502F82BC3A7AC0465809A5FFC7E1	EE184BAFB8AE2F3A0DAA3D9EF545F35E	4632403	LNT-229_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384181	GSM2113429	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632403	SRR3356064	2016-07-20T09:57:24Z	2016-04-11T12:54:49Z	15591998	795191898	0	51	299		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3356064/SRR3356064.1	SRX1689921		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384181	simple	9606	Homo sapiens	GSM2113429							no					GEO	SRA409028		public	3BA5C07C5A820B9D3AB7726ADE4A5666	854A5B2DACD33D43E1EEE36DBB13891B	4632403	LNT-229_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384181	GSM2113429	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated	LNT_229.untreated
SAMN04632404	SRR3356065	2016-07-20T09:57:24Z	2016-04-11T12:54:55Z	15176273	773989923	0	51	289		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3356065/SRR3356065.1	SRX1689922		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384180	simple	9606	Homo sapiens	GSM2113430							no					GEO	SRA409028		public	ECEDF5AF00ECD5B835F74A219852E8B8	6C3EFBFFD81E447E5CEEC505616B2D96	4632404	LNT-229_DAC_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384180	GSM2113430	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine	LNT_229.decitabine
SAMN04632404	SRR3356066	2016-07-20T09:57:24Z	2016-04-11T12:57:00Z	15153305	772818555	0	51	292		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3356066/SRR3356066.1	SRX1689922		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384180	simple	9606	Homo sapiens	GSM2113430							no					GEO	SRA409028		public	0DBE229EB9C3C9BD31C98915E67D3AA3	598A450E93A4DB97BDDF612EBF5B1565	4632404	LNT-229_DAC_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384180	GSM2113430	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine	LNT_229.decitabine
SAMN04632405	SRR3356067	2016-07-20T09:57:24Z	2016-04-11T12:54:39Z	16000000	816000000	0	51	302		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3356067/SRR3356067.1	SRX1689923		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384179	simple	9606	Homo sapiens	GSM2113431							no					GEO	SRA409028		public	74D28E998C90ADCFF47F992690D176A3	7B9784FD1DBA5830C382CD9ADE55160E	4632405	LNT-229_DAC_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384179	GSM2113431	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine	LNT_229.decitabine
SAMN04632405	SRR3356068	2016-07-20T09:57:24Z	2016-04-11T12:52:59Z	729073	37182723	0	51	14		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3356068/SRR3356068.1	SRX1689923		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP073103	PRJNA318019	2	318019	SRS1384179	simple	9606	Homo sapiens	GSM2113431							no					GEO	SRA409028		public	73CD9F2970BF8ABF9EA5691370FE8C87	E1700AA3FBC5C3AD621534B0FF9A3CDA	4632405	LNT-229_DAC_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384179	GSM2113431	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine	LNT_229.decitabine
