accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	tissue	treatment
SAMN04632398	4632398	U-87_DAC_22-3-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384172	GSM2113438	U-87	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632399	4632399	U-87_DAC_24-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384171	GSM2113439	U-87	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632402	4632402	LNT-229_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384182	GSM2113428	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated
SAMN04632403	4632403	LNT-229_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384181	GSM2113429	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Not treated
SAMN04632404	4632404	LNT-229_DAC_5-2-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384180	GSM2113430	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632405	4632405	LNT-229_DAC_20-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384179	GSM2113431	LNT-229	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632406	4632406	T98G_15-3-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384178	GSM2113432	T98G	Glioblastoma cultured cells	Brain tumor cell line	Not treated
SAMN04632407	4632407	T98G_29-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384177	GSM2113433	T98G	Glioblastoma cultured cells	Brain tumor cell line	Not treated
SAMN04632408	4632408	T98G_DAC_15-3-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384176	GSM2113434	T98G	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632409	4632409	T98G_DAC_29-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384175	GSM2113435	T98G	Glioblastoma cultured cells	Brain tumor cell line	Cells following treatment with Decitabine
SAMN04632410	4632410	U-87_22-3-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384174	GSM2113436	U-87	Glioblastoma cultured cells	Brain tumor cell line	Not treated
SAMN04632411	4632411	U-87_24-4-15	Department of Biology, Technion - Israel Institute of Technology, Haifa, Israel	9606	SRS1384173	GSM2113437	U-87	Glioblastoma cultured cells	Brain tumor cell line	Not treated
