accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN12390463	12390463	JVM2_Flud_50uM_94	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172677	GSM3983963	JVM2	Lymphoid	Flud_50uM
SAMN12390464	12390464	JVM2_CTRL_DMSO_87	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172676	GSM3983962	JVM2	Lymphoid	DMSO
SAMN12390465	12390465	JVM2_CTRL_DMSO_86	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172675	GSM3983961	JVM2	Lymphoid	DMSO
SAMN12390466	12390466	JVM2_CTRL_DMSO_85	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172674	GSM3983960	JVM2	Lymphoid	DMSO
SAMN12390467	12390467	EHEB_Idel_10uM_288	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172673	GSM3983959	EHEB	Lymphoid	Idel_10uM
SAMN12390468	12390468	EHEB_Idel_10uM_287	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172672	GSM3983958	EHEB	Lymphoid	Idel_10uM
SAMN12390469	12390469	EHEB_Idel_10uM_286	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172670	GSM3983957	EHEB	Lymphoid	Idel_10uM
SAMN12390470	12390470	EHEB_Ibru_5uM_282	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172671	GSM3983956	EHEB	Lymphoid	Ibru_5uM
SAMN12390471	12390471	EHEB_Ibru_5uM_281	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172669	GSM3983955	EHEB	Lymphoid	Ibru_5uM
SAMN12390472	12390472	EHEB_Ibru_5uM_280	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172668	GSM3983954	EHEB	Lymphoid	Ibru_5uM
SAMN12390473	12390473	EHEB_Flud_50uM_144	Pharmacogenomics Laboratory, Faculty of Pharmacy, Laval University	9606	SRS5172667	GSM3983953	EHEB	Lymphoid	Flud_50uM
