accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype/variation	source_name	treatment
SAMN10785326	10785326	MOLM-13_sgCLPB#2_D8_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274495	GSM3573418	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#2 transduction
SAMN10785327	10785327	MOLM-13_sgCLPB#2_D8_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274494	GSM3573417	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#2 transduction
SAMN10785328	10785328	MOLM-13_sgCLPB#2_D8_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274493	GSM3573416	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#2 transduction
SAMN10785329	10785329	MOLM-13_sgCLPB#2_D6_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274492	GSM3573415	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#2 transduction
SAMN10785330	10785330	MOLM-13_sgCLPB#2_D6_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274491	GSM3573414	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#2 transduction
SAMN10785331	10785331	MOLM-13_sgCLPB#2_D6_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274490	GSM3573413	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#2 transduction
SAMN10785332	10785332	MOLM-13_sgCLPB#1_D8_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274489	GSM3573412	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#1 transduction
SAMN10785333	10785333	MOLM-13_sgCLPB#1_D8_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274488	GSM3573411	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#1 transduction
SAMN10785334	10785334	MOLM-13_sgCLPB#1_D8_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274487	GSM3573410	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 8 post sgCLPB#1 transduction
SAMN10785335	10785335	MOLM-13_sgCLPB#1_D6_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274486	GSM3573409	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#1 transduction
SAMN10785336	10785336	MOLM-13_sgCLPB#1_D6_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274485	GSM3573408	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#1 transduction
SAMN10785337	10785337	MOLM-13_sgCLPB#1_D6_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274484	GSM3573407	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Knockout	MOLM-13-Cas9-dBSD cells	Day 6 post sgCLPB#1 transduction
SAMN10785338	10785338	MOLM-13_sgRosa_D8_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274483	GSM3573406	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction
SAMN10785339	10785339	MOLM-13_sgRosa_D8_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274482	GSM3573405	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction
SAMN10785340	10785340	MOLM-13_sgRosa_D8_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274481	GSM3573404	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 8 post sgRosa transduction
SAMN10785341	10785341	MOLM-13_sgRosa_D6_RNA-seq_rep3	NYU Langone Medical Center	9606	SRS4274480	GSM3573403	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction
SAMN10785342	10785342	MOLM-13_sgRosa_D6_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274479	GSM3573402	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction
SAMN10785343	10785343	MOLM-13_sgRosa_D6_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274478	GSM3573401	MOLM-13	human acute myeloid leukemia (AML) cells	CLPB Wild Type	MOLM-13-Cas9-dBSD cells	Day 6 post sgRosa transduction
SAMN10785344	10785344	MOLM-13_VR_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274477	GSM3573400	MOLM-13	human acute myeloid leukemia (AML) cells	venetoclax resistant cells	MOLM-13 venetoclax resistant cells	increasing dose of venetoclax for 8 weeks
SAMN10785345	10785345	MOLM-13_VR_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274476	GSM3573399	MOLM-13	human acute myeloid leukemia (AML) cells	venetoclax resistant cells	MOLM-13 venetoclax resistant cells	increasing dose of venetoclax for 8 weeks
SAMN10785346	10785346	MOLM-13_Par_RNA-seq_rep2	NYU Langone Medical Center	9606	SRS4274475	GSM3573398	MOLM-13	human acute myeloid leukemia (AML) cells	parental cells	MOLM-13 parental cells	none
SAMN10785347	10785347	MOLM-13_Par_RNA-seq_rep1	NYU Langone Medical Center	9606	SRS4274474	GSM3573397	MOLM-13	human acute myeloid leukemia (AML) cells	parental cells	MOLM-13 parental cells	none
