accession	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment
SAMN02727420	2727420	siDPPA5 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591807	GSM1369067	vorinostat-resistant HCT116	colorectal carcinoma cell line	siDPPA5
SAMN02727421	2727421	siJAK2 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591810	GSM1369070	vorinostat-resistant HCT116	colorectal carcinoma cell line	siJAK2
SAMN02727422	2727422	siBEGAIN rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591804	GSM1369064	vorinostat-resistant HCT116	colorectal carcinoma cell line	siBEGAIN
SAMN02727423	2727423	siTGM5 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591816	GSM1369076	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTGM5
SAMN02727424	2727424	siNFYA rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591811	GSM1369071	vorinostat-resistant HCT116	colorectal carcinoma cell line	siNFYA
SAMN02727425	2727425	siPSMD13 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591813	GSM1369073	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPSMD13
SAMN02727426	2727426	siEIF3L rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591808	GSM1369068	vorinostat-resistant HCT116	colorectal carcinoma cell line	siEIF3L
SAMN02727427	2727427	siCCNK rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591805	GSM1369065	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCCNK
SAMN02727428	2727428	siRGS18 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591814	GSM1369074	vorinostat-resistant HCT116	colorectal carcinoma cell line	siRGS18
SAMN02727429	2727429	siTOX4 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591817	GSM1369077	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTOX4
SAMN02727430	2727430	siGLI1 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591809	GSM1369069	vorinostat-resistant HCT116	colorectal carcinoma cell line	siGLI1
SAMN02727431	2727431	siCDK10 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591806	GSM1369066	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCDK10
SAMN02727432	2727432	siBEGAIN rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591819	GSM1369079	vorinostat-resistant HCT116	colorectal carcinoma cell line	siBEGAIN
SAMN02727433	2727433	siPOLR2D rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591812	GSM1369072	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPOLR2D
SAMN02727434	2727434	mock rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591803	GSM1369063	vorinostat-resistant HCT116	colorectal carcinoma cell line	mock
SAMN02727435	2727435	siSAP130 rep1	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591815	GSM1369075	vorinostat-resistant HCT116	colorectal carcinoma cell line	siSAP130
SAMN02727436	2727436	mock rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591818	GSM1369078	vorinostat-resistant HCT116	colorectal carcinoma cell line	mock
SAMN02727437	2727437	siCDK10 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591821	GSM1369081	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCDK10
SAMN02727438	2727438	siGLI1 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591824	GSM1369084	vorinostat-resistant HCT116	colorectal carcinoma cell line	siGLI1
SAMN02727439	2727439	siCCNK rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591820	GSM1369080	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCCNK
SAMN02727440	2727440	siJAK2 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591825	GSM1369085	vorinostat-resistant HCT116	colorectal carcinoma cell line	siJAK2
SAMN02727441	2727441	siDPPA5 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591822	GSM1369082	vorinostat-resistant HCT116	colorectal carcinoma cell line	siDPPA5
SAMN02727442	2727442	siPSMD13 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591828	GSM1369088	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPSMD13
SAMN02727443	2727443	siEIF3L rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591823	GSM1369083	vorinostat-resistant HCT116	colorectal carcinoma cell line	siEIF3L
SAMN02727444	2727444	siPOLR2D rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591827	GSM1369087	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPOLR2D
SAMN02727445	2727445	siNFYA rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591826	GSM1369086	vorinostat-resistant HCT116	colorectal carcinoma cell line	siNFYA
SAMN02727446	2727446	siSAP130 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591830	GSM1369090	vorinostat-resistant HCT116	colorectal carcinoma cell line	siSAP130
SAMN02727447	2727447	siCDK10 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591836	GSM1369096	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCDK10
SAMN02727448	2727448	siEIF3L rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591838	GSM1369098	vorinostat-resistant HCT116	colorectal carcinoma cell line	siEIF3L
SAMN02727449	2727449	siGLI1 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591839	GSM1369099	vorinostat-resistant HCT116	colorectal carcinoma cell line	siGLI1
SAMN02727450	2727450	mock rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591833	GSM1369093	vorinostat-resistant HCT116	colorectal carcinoma cell line	mock
SAMN02727451	2727451	siRGS18 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591829	GSM1369089	vorinostat-resistant HCT116	colorectal carcinoma cell line	siRGS18
SAMN02727452	2727452	siBEGAIN rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591834	GSM1369094	vorinostat-resistant HCT116	colorectal carcinoma cell line	siBEGAIN
SAMN02727453	2727453	siCCNK rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591835	GSM1369095	vorinostat-resistant HCT116	colorectal carcinoma cell line	siCCNK
SAMN02727454	2727454	siDPPA5 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591837	GSM1369097	vorinostat-resistant HCT116	colorectal carcinoma cell line	siDPPA5
SAMN02727455	2727455	siTOX4 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591832	GSM1369092	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTOX4
SAMN02727456	2727456	siTGM5 rep2	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591831	GSM1369091	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTGM5
SAMN02727457	2727457	siPSMD13 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591843	GSM1369103	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPSMD13
SAMN02727458	2727458	siNFYA rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591841	GSM1369101	vorinostat-resistant HCT116	colorectal carcinoma cell line	siNFYA
SAMN02727459	2727459	siPOLR2D rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591842	GSM1369102	vorinostat-resistant HCT116	colorectal carcinoma cell line	siPOLR2D
SAMN02727460	2727460	siJAK2 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591840	GSM1369100	vorinostat-resistant HCT116	colorectal carcinoma cell line	siJAK2
SAMN02727461	2727461	siSAP130 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591845	GSM1369105	vorinostat-resistant HCT116	colorectal carcinoma cell line	siSAP130
SAMN02727462	2727462	siTOX4 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591847	GSM1369107	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTOX4
SAMN02727463	2727463	siTGM5 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591846	GSM1369106	vorinostat-resistant HCT116	colorectal carcinoma cell line	siTGM5
SAMN02727464	2727464	siRGS18 rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS591844	GSM1369104	vorinostat-resistant HCT116	colorectal carcinoma cell line	siRGS18
