accession	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	treatment
SAMN13942365	13942365	HCT116-SPARCLE_OE-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078778	GSM4289812	HCT116	SPARCLE OVER-EXPRESSION	HCT116_DOX-OE	Doxorubicin 1uM
SAMN13942366	13942366	HCT116-SPARCLE_OE-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078777	GSM4289811	HCT116	SPARCLE OVER-EXPRESSION	HCT116_DOX-OE	Doxorubicin 1uM
SAMN13942367	13942367	HCT116-SPARCLE_KO-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078776	GSM4289810	HCT116	SPARCLE KO	HCT116_DOX-KO	Doxorubicin 1uM
SAMN13942368	13942368	HCT116-SPARCLE_KO-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078775	GSM4289809	HCT116	SPARCLE KO	HCT116_DOX-KO	Doxorubicin 1uM
SAMN13942369	13942369	HCT116-WT-DOX-b	Institute for Biotechnology, UNAM	9606	SRS6078774	GSM4289808	HCT116	WT	HCT116_DOX-WT	Doxorubicin 1uM
SAMN13942370	13942370	HCT116-WT-DOX-a	Institute for Biotechnology, UNAM	9606	SRS6078773	GSM4289807	HCT116	WT	HCT116_DOX-WT	Doxorubicin 1uM
SAMN13942371	13942371	HCT116-SPARCLE_OE-ctr-b	Institute for Biotechnology, UNAM	9606	SRS6078772	GSM4289806	HCT116	SPARCLE OVER-EXPRESSION	HCT116_Control-OE	None
SAMN13942372	13942372	HCT116-SPARCLE_OE-ctr-a	Institute for Biotechnology, UNAM	9606	SRS6078771	GSM4289805	HCT116	SPARCLE OVER-EXPRESSION	HCT116_Control-OE	None
SAMN13942373	13942373	HCT116-SPARCLE_KO-ctr-b	Institute for Biotechnology, UNAM	9606	SRS6078770	GSM4289804	HCT116	SPARCLE KO	HCT116_Control-KO	None
SAMN13942374	13942374	HCT116-SPARCLE_KO-ctr-a	Institute for Biotechnology, UNAM	9606	SRS6078769	GSM4289803	HCT116	SPARCLE KO	HCT116_Control-KO	None
SAMN13942375	13942375	HCT116-WT-ctr-b	Institute for Biotechnology, UNAM	9606	SRS6078768	GSM4289802	HCT116	WT	HCT116_Control-WT	None
SAMN13942376	13942376	HCT116-WT-ctr-a	Institute for Biotechnology, UNAM	9606	SRS6078767	GSM4289801	HCT116	WT	HCT116_Control-WT	None
