BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	treatment time	group
SAMN12280528	SRR9689901	2019-07-17T16:40:08Z	2019-07-15T19:55:23Z	18541772	927088600	0	50	339		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9689901/SRR9689901.1	SRX6449274		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102900	simple	9606	Homo sapiens	GSM3942144							no					GEO	SRA921270		public	2535AECD4D7649260F22BF0ED542F86A	B3574DC90D374B7A9C2D27BE39444757	12280528	SKMel19_6h_N2	Michigan State University	9606	SRS5102900	GSM3942144	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr	SKMel19.CCG_222740.6hr
SAMN12280528	SRR9689902	2019-07-17T16:40:08Z	2019-07-15T19:55:36Z	19474805	973740250	0	50	357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9689902/SRR9689902.1	SRX6449274		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102900	simple	9606	Homo sapiens	GSM3942144							no					GEO	SRA921270		public	B0DDAC0657B29ED65EF52944187B3B24	7A4D51CFF4AAF1DAE8880DD4DB58B1A4	12280528	SKMel19_6h_N2	Michigan State University	9606	SRS5102900	GSM3942144	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr	SKMel19.CCG_222740.6hr
SAMN12280529	SRR9689899	2019-07-17T16:40:08Z	2019-07-15T19:54:42Z	21152244	1057612200	0	50	372		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689899/SRR9689899.1	SRX6449273		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102899	simple	9606	Homo sapiens	GSM3942143							no					GEO	SRA921270		public	E96A9FFFD08C9E282211A18F34C5995F	03AA69AB9BA376519C59AFC54CE92955	12280529	SKMel19_6h_N1	Michigan State University	9606	SRS5102899	GSM3942143	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr	SKMel19.CCG_222740.6hr
SAMN12280529	SRR9689900	2019-07-17T16:40:08Z	2019-07-15T19:56:45Z	23026912	1151345600	0	50	404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9689900/SRR9689900.1	SRX6449273		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102899	simple	9606	Homo sapiens	GSM3942143							no					GEO	SRA921270		public	54727A7D4C7852872B558EDC2E996800	F94806E4DFD149AC71CC5D6D41F69DD0	12280529	SKMel19_6h_N1	Michigan State University	9606	SRS5102899	GSM3942143	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	6 hr	SKMel19.CCG_222740.6hr
SAMN12280530	SRR9689897	2019-07-17T16:40:08Z	2019-07-15T19:55:23Z	20303093	1015154650	0	50	367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9689897/SRR9689897.1	SRX6449272		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102898	simple	9606	Homo sapiens	GSM3942142							no					GEO	SRA921270		public	83309ABB9E1A7241C15A079E7440070F	116F63FBB8BC51D2CF5AD7014EED3EA1	12280530	SKMel19_2h_N2	Michigan State University	9606	SRS5102898	GSM3942142	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr	SKMel19.CCG_222740.2hr
SAMN12280530	SRR9689898	2019-07-17T16:40:08Z	2019-07-15T19:56:25Z	21342057	1067102850	0	50	387		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689898/SRR9689898.1	SRX6449272		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102898	simple	9606	Homo sapiens	GSM3942142							no					GEO	SRA921270		public	2364B357E8347BB5BFF3625351C02CC3	25D884B745C0A6DC5D4EBC061344E55B	12280530	SKMel19_2h_N2	Michigan State University	9606	SRS5102898	GSM3942142	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr	SKMel19.CCG_222740.2hr
SAMN12280531	SRR9689895	2019-07-17T16:40:08Z	2019-07-15T19:55:49Z	21596115	1079805750	0	50	376		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689895/SRR9689895.1	SRX6449271		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102897	simple	9606	Homo sapiens	GSM3942141							no					GEO	SRA921270		public	60185281A47D7B6C464CEF7DA4390315	E5331CAE0C485A31C02995A8F24D2A43	12280531	SKMel19_2h_N1	Michigan State University	9606	SRS5102897	GSM3942141	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr	SKMel19.CCG_222740.2hr
SAMN12280531	SRR9689896	2019-07-17T16:40:08Z	2019-07-15T19:55:58Z	23316436	1165821800	0	50	404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689896/SRR9689896.1	SRX6449271		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102897	simple	9606	Homo sapiens	GSM3942141							no					GEO	SRA921270		public	9A43231A43F4AB03DD668B102E82F71F	0026971FFEE2B4A90FCA66989171B308	12280531	SKMel19_2h_N1	Michigan State University	9606	SRS5102897	GSM3942141	melanoma cell line SKMel19	Melanoma Cell Line	CCG-222740	2 hr	SKMel19.CCG_222740.2hr
SAMN12280532	SRR9689893	2019-07-17T16:40:07Z	2019-07-15T19:54:44Z	20086463	1004323150	0	50	359		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689893/SRR9689893.1	SRX6449270		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102896	simple	9606	Homo sapiens	GSM3942140							no					GEO	SRA921270		public	222B87170147CCF9F69AED72D05E0B4B	BBDBB5470C924813762C6F436FBFFEB6	12280532	SKMel19_0h_N2	Michigan State University	9606	SRS5102896	GSM3942140	melanoma cell line SKMel19	Melanoma Cell Line	control	0 hr	SKMel19.control.0hr
SAMN12280532	SRR9689894	2019-07-17T16:40:07Z	2019-07-15T19:55:30Z	21606006	1080300300	0	50	388		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9689894/SRR9689894.1	SRX6449270		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP214725	PRJNA554700	3	554700	SRS5102896	simple	9606	Homo sapiens	GSM3942140							no					GEO	SRA921270		public	98F4954AF85E720D374E2EA7E36F5626	4509CEF8AC0B1A22B6B12C8A0DDA5D29	12280532	SKMel19_0h_N2	Michigan State University	9606	SRS5102896	GSM3942140	melanoma cell line SKMel19	Melanoma Cell Line	control	0 hr	SKMel19.control.0hr
