BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	genotype	source_name	treatment	group
SAMN31047615	SRR21731933	2022-09-30T00:43:22Z	2022-09-27T23:34:05Z	29896483	8968944900	29896483	300	2585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731933/SRR21731933.lite.1	SRX17727711	GSM6604253	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257246	simple	9606	Homo sapiens	GSM6604253							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	F59E660DE1E2EB5AA595194882679508	7A4EC11CFF603CE107BFD257372403FC	31047615	MIA PaCa-2, L-Gln 40mM, Gem 0.5 uM, 48h [MP2_D_3]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257246	GSM6604253	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.40mM..Gem.0.5.uM..48h
SAMN31047616	SRR21731934	2022-09-30T00:43:22Z	2022-09-27T23:45:02Z	28499324	8549797200	28499324	300	2432		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731934/SRR21731934.lite.1	SRX17727710	GSM6604252	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257245	simple	9606	Homo sapiens	GSM6604252							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	EF05E3447344637EFA2905A2399D34BA	217CA6BCA8463C1D012C55B9F69A195A	31047616	MIA PaCa-2, L-Gln 40mM, Gem 0.5 uM, 48h [MP2_D_2]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257245	GSM6604252	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.40mM..Gem.0.5.uM..48h
SAMN31047617	SRR21731935	2022-09-30T00:43:22Z	2022-09-27T23:59:58Z	29847874	8954362200	29847874	300	2560		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731935/SRR21731935.lite.1	SRX17727709	GSM6604251	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257244	simple	9606	Homo sapiens	GSM6604251							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	F899C769D720A31A47452DDC04BA24C8	878CAB70AEFD31EA26EB30B8316BCE3B	31047617	MIA PaCa-2, L-Gln 40mM, Gem 0.5 uM, 48h [MP2_D_1]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257244	GSM6604251	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.40mM..Gem.0.5.uM..48h
SAMN31047618	SRR21731936	2022-09-30T00:43:22Z	2022-09-28T00:02:00Z	32879159	9863747700	32879159	300	2805		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731936/SRR21731936.lite.1	SRX17727708	GSM6604250	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257243	simple	9606	Homo sapiens	GSM6604250							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	121CF8D5EDF9DE05838D3481DECAF887	0AEE8E68E45744E867648EA2500D0D4A	31047618	MIA PaCa-2, L-Gln 40mM, Gem 0, 48h [MP2_C_3]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257243	GSM6604250	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine	MIA.PaCa.2..L.Gln.40mM..Gem.0..48h
SAMN31047619	SRR21731937	2022-09-30T00:43:21Z	2022-09-27T23:55:51Z	28775479	8632643700	28775479	300	2450		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731937/SRR21731937.lite.1	SRX17727707	GSM6604249	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257242	simple	9606	Homo sapiens	GSM6604249							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	CDE6A9634C12175255B1880E3F93A506	7D5F0411E9F0C59137F4E89DEFC15F11	31047619	MIA PaCa-2, L-Gln 40mM, Gem 0, 48h [MP2_C_2]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257242	GSM6604249	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine	MIA.PaCa.2..L.Gln.40mM..Gem.0..48h
SAMN31047620	SRR21731938	2022-09-30T00:43:21Z	2022-09-27T23:54:53Z	28507570	8552271000	28507570	300	2431		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731938/SRR21731938.lite.1	SRX17727706	GSM6604248	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257241	simple	9606	Homo sapiens	GSM6604248							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	410EBDD5A2A97D2524521A388040E44B	3F0826D522C592400E0DB71A0476E234	31047620	MIA PaCa-2, L-Gln 40mM, Gem 0, 48h [MP2_C_1]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257241	GSM6604248	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine	MIA.PaCa.2..L.Gln.40mM..Gem.0..48h
SAMN31047621	SRR21731939	2022-09-30T00:43:21Z	2022-09-28T00:09:19Z	39237500	11771250000	39237500	300	3344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731939/SRR21731939.lite.1	SRX17727705	GSM6604247	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257240	simple	9606	Homo sapiens	GSM6604247							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	BA2B238BD490947E10FB363C4B51C4F6	14D194A379A77B1431BD79D627B0FEC3	31047621	MIA PaCa-2, L-Gln 2mM, Gem 0.5 uM, 48h [MP2_B_3]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257240	GSM6604247	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.2mM..Gem.0.5.uM..48h
SAMN31047622	SRR21731940	2022-09-30T00:43:21Z	2022-09-27T23:52:04Z	26174988	7852496400	26174988	300	2262		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731940/SRR21731940.lite.1	SRX17727704	GSM6604246	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257239	simple	9606	Homo sapiens	GSM6604246							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	9AE585A59F1F21984FA01EA93891FDE7	7750D63269ED95E2AE3BD3458B3E4EFE	31047622	MIA PaCa-2, L-Gln 2mM, Gem 0.5 uM, 48h [MP2_B_2]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257239	GSM6604246	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.2mM..Gem.0.5.uM..48h
SAMN31047623	SRR21731941	2022-09-30T00:43:21Z	2022-09-28T00:02:28Z	31596672	9479001600	31596672	300	2721		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731941/SRR21731941.lite.1	SRX17727703	GSM6604245	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257238	simple	9606	Homo sapiens	GSM6604245							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	B4E301123EDA05AE60C0321B821DB50D	7314B934361E8EE82EC5B71AFE106320	31047623	MIA PaCa-2, L-Gln 2mM, Gem 0.5 uM, 48h [MP2_B_1]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257238	GSM6604245	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine, Gemcitabine	MIA.PaCa.2..L.Gln.2mM..Gem.0.5.uM..48h
SAMN31047624	SRR21731942	2022-09-30T00:43:21Z	2022-09-28T00:03:43Z	32986387	9895916100	32986387	300	2819		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21731/SRR21731942/SRR21731942.lite.1	SRX17727702	GSM6604244	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP399920	PRJNA884815		884815	SRS15257237	simple	9606	Homo sapiens	GSM6604244							no					BHOWMICK'S LAB, SOCC, CEDARS SINAI	SRA1508429		public	1805F5D07C27074B4FD1AD079FABBDD3	32A1AB7F12DAEBCDEE0AD6B569588F51	31047624	MIA PaCa-2, L-Gln 2mM, Gem 0, 48h [MP2_A_3]	Bhowmick's Lab, SOCC, Cedars Sinai	9606	SRS15257237	GSM6604244	MIA PaCa-2	Pancreatic cancer cell line	WT	MIA PaCa-2	L-Glutamine	MIA.PaCa.2..L.Gln.2mM..Gem.0..48h
