BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	genotype	source_name	treatment
SAMN14169884	SRR11164895	2020-04-15T17:01:25Z	2020-02-24T13:43:10Z	48318230	9760282460	48318230	202	2764		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164895.sralite.1	SRX7789567		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205021	simple	9606	Homo sapiens	GSM4333302							no					GEO	SRA1047354		public	6A768C3C6202348EAAFAE736ADB8C1DD	7E208E926EE12198265505CAF5E5912B	14169884	HCT 116p53-/-RPL3 KO ACT D treated #3	Tigem	9606	SRS6205021	GSM4333302	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169885	SRR11164894	2020-04-15T17:01:25Z	2020-02-24T13:28:10Z	43102457	8706696314	43102457	202	2464		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164894.sralite.1	SRX7789566		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205020	simple	9606	Homo sapiens	GSM4333301							no					GEO	SRA1047354		public	1D817852285BDD4E6787942A5ACFF953	E3E99A015D9654E188FDEA65F0277682	14169885	HCT 116p53-/-RPL3 KO ACT D treated #2	Tigem	9606	SRS6205020	GSM4333301	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169886	SRR11164893	2020-04-15T17:01:25Z	2020-03-04T10:10:10Z	51304134	10363435068	51304134	202	2937		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/164/SRR11164893.sralite.1	SRX7789565		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205019	simple	9606	Homo sapiens	GSM4333300							no					GEO	SRA1047354		public	9F82776B12DFFCDF3F0BA696C5FB7B1C	0D479B9D6B0F2909264D5BBAC4A0FEB6	14169886	HCT 116p53-/-RPL3 KO ACT D treated #1	Tigem	9606	SRS6205019	GSM4333300	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169887	SRR11164892	2020-04-15T17:01:25Z	2020-03-04T10:13:00Z	56643640	11442015280	56643640	202	3235		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164892.sralite.1	SRX7789564		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205018	simple	9606	Homo sapiens	GSM4333299							no					GEO	SRA1047354		public	85231D64B8F88BA7D445895F666DCAEA	2A35FD365A9C53F3994A8AFFE6F45C3B	14169887	HCT 116p53-/-RPL3 KO vehicle CTR #3	Tigem	9606	SRS6205018	GSM4333299	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	vehicle CTR
SAMN14169888	SRR11164891	2020-04-15T17:01:25Z	2020-02-24T13:58:16Z	61603652	12443937704	61603652	202	3514		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/164/SRR11164891/SRR11164891.sralite.1	SRX7789563		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205017	simple	9606	Homo sapiens	GSM4333298							no					GEO	SRA1047354		public	006A4F0B1F689B3E59E3214A97BB1136	200D08364B0282CFCD2B6931408620A7	14169888	HCT 116p53-/-RPL3 KO vehicle CTR #2	Tigem	9606	SRS6205017	GSM4333298	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	vehicle CTR
SAMN14169889	SRR11164890	2020-04-15T17:01:25Z	2020-02-24T13:28:28Z	54688959	11047169718	54688959	202	3182		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164890.sralite.1	SRX7789562		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205016	simple	9606	Homo sapiens	GSM4333297							no					GEO	SRA1047354		public	451D0D83E966C8A22B91C2A03ACB2F68	1A92A24C3D05C31018D852DAAFDA0FAE	14169889	HCT 116p53-/-RPL3 KO vehicle CTR #1	Tigem	9606	SRS6205016	GSM4333297	HCT116	P53-/-; RPL3 KO	Colorectal Cancer stable cell line	vehicle CTR
SAMN14169890	SRR11164889	2020-04-15T17:01:25Z	2020-02-24T13:30:37Z	52584654	10622100108	52584654	202	3045		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/164/SRR11164889.sralite.1	SRX7789561		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205015	simple	9606	Homo sapiens	GSM4333296							no					GEO	SRA1047354		public	664AD8298C3B42D563389C1620C3D55A	D78F998F9FB6D0772E80C23ACB049447	14169890	HCT 116p53-/- ACT D treated #3	Tigem	9606	SRS6205015	GSM4333296	HCT116	P53-/-	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169892	SRR11164888	2020-04-15T17:01:25Z	2020-02-24T13:23:42Z	52709373	10647293346	52709373	202	3033		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164888.sralite.1	SRX7789560		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205014	simple	9606	Homo sapiens	GSM4333295							no					GEO	SRA1047354		public	CC5878F6EEC31BE669F18B3358175095	007B3907083B7A825E32E5032620570E	14169892	HCT 116p53-/- ACT D treated #2	Tigem	9606	SRS6205014	GSM4333295	HCT116	P53-/-	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169893	SRR11164887	2020-04-15T17:01:25Z	2020-02-24T13:30:06Z	56090255	11330231510	56090255	202	3246		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/164/SRR11164887.sralite.1	SRX7789559		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205013	simple	9606	Homo sapiens	GSM4333294							no					GEO	SRA1047354		public	FCFBEEF7E3F2BD6A519E27AA18CCAE4E	03B57D31B6707A8366886256DFCC698F	14169893	HCT 116p53-/- ACT D treated #1	Tigem	9606	SRS6205013	GSM4333294	HCT116	P53-/-	Colorectal Cancer stable cell line	5nM Act D for 24h
SAMN14169895	SRR11164886	2020-04-15T17:01:25Z	2020-02-24T13:33:57Z	66414954	13415820708	66414954	202	3810		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/164/SRR11164886.sralite.1	SRX7789558		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250484	PRJNA608302	3	608302	SRS6205012	simple	9606	Homo sapiens	GSM4333293							no					GEO	SRA1047354		public	8A5A0CB272DA7C26EA752B8E04664EE1	23FB7915752404AF97A7171C20BE15C1	14169895	HCT 116p53-/- vehicle CTR #3	Tigem	9606	SRS6205012	GSM4333293	HCT116	P53-/-	Colorectal Cancer stable cell line	vehicle CTR
