accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN10517464	10517464	jc4941_mcf7_4_hydroxy_tamoxifen_arid1a Clone 11 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101389	GSM3499214	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_ARID1A_CLONE_11	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517465	10517465	jc4940_mcf7_4_hydroxy_tamoxifen_arid1a Clone 11 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101388	GSM3499213	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_ARID1A_CLONE_11	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517466	10517466	jc4939_mcf7_4_hydroxy_tamoxifen_arid1a Clone 11 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101387	GSM3499212	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_ARID1A_CLONE_11	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517473	10517473	jc4881_mcf7_fulvestrant_wild_type Clone 216 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101425	GSM3499250	MCF7	breast cancer cell line	Fulvestrant_WT_CLONE_216	10 nM Fulvestrant for 6 hours
SAMN10517474	10517474	jc4880_mcf7_fulvestrant_wild_type Clone 216 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101424	GSM3499249	MCF7	breast cancer cell line	Fulvestrant_WT_CLONE_216	10 nM Fulvestrant for 6 hours
SAMN10517475	10517475	jc4879_mcf7_fulvestrant_wild_type Clone 216 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101423	GSM3499248	MCF7	breast cancer cell line	Fulvestrant_WT_CLONE_216	10 nM Fulvestrant for 6 hours
SAMN10517476	10517476	jc4930_mcf7_fulvestrant_parental_cell_line rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101422	GSM3499247	MCF7	breast cancer cell line	Fulvestrant_PARENTAL_CELL_LINE	10 nM Fulvestrant for 6 hours
SAMN10517477	10517477	jc4929_mcf7_fulvestrant_parental_cell_line rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101421	GSM3499246	MCF7	breast cancer cell line	Fulvestrant_PARENTAL_CELL_LINE	10 nM Fulvestrant for 6 hours
SAMN10517478	10517478	jc4928_mcf7_fulvestrant_parental_cell_line rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101420	GSM3499245	MCF7	breast cancer cell line	Fulvestrant_PARENTAL_CELL_LINE	10 nM Fulvestrant for 6 hours
SAMN10517479	10517479	jc4927_mcf7_fulvestrant_parental_cell_line rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101419	GSM3499244	MCF7	breast cancer cell line	Fulvestrant_PARENTAL_CELL_LINE	10 nM Fulvestrant for 6 hours
SAMN10517480	10517480	jc4962_mcf7_fulvestrant_arid1a Clone 14 rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101418	GSM3499243	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_14	10 nM Fulvestrant for 6 hours
SAMN10517481	10517481	jc4961_mcf7_fulvestrant_arid1a Clone 14 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101417	GSM3499242	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_14	10 nM Fulvestrant for 6 hours
SAMN10517482	10517482	jc4960_mcf7_fulvestrant_arid1a Clone 14 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101416	GSM3499241	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_14	10 nM Fulvestrant for 6 hours
SAMN10517483	10517483	jc4959_mcf7_fulvestrant_arid1a Clone 14 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101415	GSM3499240	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_14	10 nM Fulvestrant for 6 hours
SAMN10517485	10517485	jc4946_mcf7_fulvestrant_arid1a Clone 11 rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101414	GSM3499239	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_11	10 nM Fulvestrant for 6 hours
SAMN10517487	10517487	jc4945_mcf7_fulvestrant_arid1a Clone 11 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101413	GSM3499238	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_11	10 nM Fulvestrant for 6 hours
SAMN10517488	10517488	jc4944_mcf7_fulvestrant_arid1a Clone 11 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101412	GSM3499237	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_11	10 nM Fulvestrant for 6 hours
SAMN10517490	10517490	jc4943_mcf7_fulvestrant_arid1a Clone 11 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101411	GSM3499236	MCF7	breast cancer cell line	Fulvestrant_ARID1A_CLONE_11	10 nM Fulvestrant for 6 hours
SAMN10517493	10517493	jc4910_mcf7_4_hydroxy_tamoxifen_wild_type Clone 221 rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101410	GSM3499235	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_221	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517494	10517494	jc4909_mcf7_4_hydroxy_tamoxifen_wild_type Clone 221 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101409	GSM3499234	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_221	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517495	10517495	jc4908_mcf7_4_hydroxy_tamoxifen_wild_type Clone 221 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101408	GSM3499233	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_221	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517496	10517496	jc4907_mcf7_4_hydroxy_tamoxifen_wild_type Clone 221 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101407	GSM3499232	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_221	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517497	10517497	jc4894_mcf7_4_hydroxy_tamoxifen_wild_type Clone 219 rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101406	GSM3499231	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_219	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517498	10517498	jc4893_mcf7_4_hydroxy_tamoxifen_wild_type Clone 219 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101405	GSM3499230	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_219	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517499	10517499	jc4892_mcf7_4_hydroxy_tamoxifen_wild_type Clone 219 rep 2	Cancer Research UK, Cambridge Institute	9606	SRS4101404	GSM3499229	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_219	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517500	10517500	jc4891_mcf7_4_hydroxy_tamoxifen_wild_type Clone 219 rep 1	Cancer Research UK, Cambridge Institute	9606	SRS4101403	GSM3499228	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_219	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517501	10517501	jc4878_mcf7_4_hydroxy_tamoxifen_wild_type Clone 216 rep 4	Cancer Research UK, Cambridge Institute	9606	SRS4101402	GSM3499227	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_216	100 nM 4-hydroxy tamoxifen for 6 hours
SAMN10517502	10517502	jc4877_mcf7_4_hydroxy_tamoxifen_wild_type Clone 216 rep 3	Cancer Research UK, Cambridge Institute	9606	SRS4101401	GSM3499226	MCF7	breast cancer cell line	4_hydroxy_tamoxifen_WT_CLONE_216	100 nM 4-hydroxy tamoxifen for 6 hours
